,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
2431,000010,美丽生态,-9.98,-33.91,49.1173,-5.1043,-0.0347,15.0508,0.1023
2432,600984,建设机械,-10.31,-76.61,3.5621,-27.2542,-0.1925,35.571999999999996,0.2512
2433,000971,高升控股,-10.71,-10.69,-8.396,-2.2592,-0.0092,21.1331,0.0869
2434,000892,欢瑞世纪,-10.97,,,-0.5918,-0.0014,0.0,0.0
2435,600725,ST云维,-11.05,-5.51,7.3319,-135.2189,-0.2194,2450.0621,3.9758
2436,600419,天润乳业,-11.14,-182.97,10.3836,-10.395999999999999,-0.1296,5.6816,0.0708
2437,600689,上海三毛,-12.08,-5.88,7.1977,-39.1054,-0.1945,663.9625,3.3034
2438,601005,重庆钢铁,-12.35,-9.19,0.4666,-458.99,-0.2648,4993.0109999999995,2.8809
2439,000505,京粮控股,-12.38,-40.57,31.1355,-25.3959,-0.0595,62.5925,0.1466
2440,600225,天津松江,-12.82,-285.21,40.5943,-138.6085,-0.2212,48.5976,0.0775
2441,000972,*ST中基,-13.65,-21.65,11.4745,-49.8712,-0.0646,230.3156,0.2986
2442,600299,安迪苏,-14.27,-12.03,2.319,-238.2331,-0.4557,1980.2426,3.7884
2443,600250,南纺股份,-17.98,-4.26,4.4946,-44.6995,-0.1727,1048.2369,4.052
2444,600877,ST嘉陵,-18.75,-16.35,8.7113,-68.4291,-0.0995,418.5251,0.6089
2445,600876,洛阳玻璃,-23.83,-39.47,14.3868,-25.439,-0.0508,64.4502,0.1288
2446,002114,罗平锌电,-24.17,-33.57,-8.1685,-38.6517,-0.2102,115.1207,0.6261
2447,002506,协鑫集成,-31.11,-278.76,-59.8731,-262.6237,-0.3113,94.2102,0.1116
2448,600217,中再资环,-46.87,-29.65,3.8165,-39.0264,-0.059000000000000004,131.5963,0.1991
2449,600681,百川能源,-59.25,-40.71,18.2111,-8.9634,-0.0356,22.0155,0.0875
2450,600265,ST景谷,-61.56,-116.01,7.899,-15.9144,-0.1226,13.7171,0.1056
2451,300373,扬杰科技,,19.34,32.2075,20.2377,0.2932,104.6198,1.5162
2452,300378,鼎捷软件,,-9.42,81.3642,-18.3492,-0.2038,194.71,2.1634
2453,300382,斯莱克,,29.85,45.5071,13.2149,0.2872,44.2616,0.9622
2454,300386,飞天诚信,,22.99,,32.8973,0.4386,143.0533,1.9073
2455,300390,天华超净,,10.0,,8.0024,0.1282,79.9985,1.2819999999999998
2456,601228,广州港,,,,,,,
2457,000751,锌业股份,,0.66,8.1025,6.7617,0.006,1011.9585,0.9115
2458,600301,ST南化,,-36.31,-15.177999999999999,-58.2153,-0.2475,160.3019,0.6817
2459,603005,晶方科技,,36.32,53.4057,31.9532,0.1686,87.9657,0.4641
2460,002723,金莱特,,4.33,17.0581,4.7144,0.0673,108.8546,1.555
2461,002728,特一药业,,28.33,,22.0933,0.2945,77.9588,1.0394
2462,300359,全通教育,,19.84,50.0268,6.9133,0.1152,34.8382,0.5806
2463,300365,恒华科技,,11.05,48.4631,1.8945,0.0451,17.1335,0.4079
2464,600579,天华院,,-34.3,-9.8939,-29.5279,-0.1155,86.0654,0.3367
2465,300369,绿盟科技,,-59.94,87.7771,-30.1684,-0.4022,50.33,0.6709999999999999
2466,300376,易事特,,13.23,31.6989,25.6476,0.3285,193.7211,2.4816
2467,300380,安硕信息,,8.62,39.5797,3.0583,0.0509,35.4428,0.5907
2468,300384,三联虹普,,18.75,47.2314,6.5014,0.1625,34.6609,0.8665
2469,600617,国新能源,,,,-0.8326,-0.0049,0.0,0.0
