,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,601228,广州港,--,--,--,--,--,--
1,603225,新凤鸣,--,--,--,--,--,--
2,300344,太空智造,--,--,--,--,--,--
3,300343,联创互联,--,--,--,--,--,--
4,300383,光环新网,--,--,--,--,--,--
5,300309,吉艾科技,4010.5022,3875.2248,289823.9444,-3400.7313,99.9764,0.0236
6,000498,山东路桥,325.0263,325.0263,32263.2505,26839.1336,99.7047,0.2953
7,300075,数字政通,96.8088,94.0508,8102.4271,-111.3665,98.7855,1.2145
8,002399,海普瑞,97.313,92.9313,8618.9277,-239.9399,98.7631,1.2369
9,300067,安诺其,60.9721,48.1763,3374.581,-278.7344,98.637,1.363
10,300053,欧比特,51.6469,46.2566,2637.073,-774.8,98.5963,1.4037
11,002558,巨人网络,27.5751,26.4631,2408.1122,-238.5401,98.4085,1.5915
12,002502,骅威文化,52.1187,47.0299,3534.9943,-161.5329,98.3468,1.6532
13,300191,潜能恒信,185.4317,185.1361,13958.9779,-241.2593,98.1078,1.8922
14,300315,掌趣科技,45.7896,45.7896,3919.4523,-3412.286,98.1002,1.8998
15,000681,视觉中国,46.9908,46.9908,4285.292,-976.5351,97.9264,2.0736
16,000722,湖南发展,7.6463,7.6185,332.2804,-4316.5085,97.7333,2.2667
17,600180,瑞茂通,0.1067,0.1067,10.6732,32677.6257,97.6253,2.3747
18,300175,朗源股份,25.3944,17.0968,1181.6836,-5598.0364,97.4883,2.5117
19,300318,博晖创新,31.9222,31.2358,2846.4093,-2119.6858,97.4523,2.5477
20,300085,银之杰,33.3891,32.8183,2465.394,-94.4529,97.4478,2.5522
21,300288,朗玛信息,37.9846,37.9846,3303.0829,-759.37,97.4151,2.5849
22,002540,亚太科技,34.9737,30.4458,1849.9171,-428.4892,97.3706,2.6294
23,300189,神农基因,32.5728,28.1784,2340.9386,-311.8746,97.3656,2.6344
24,002568,百润股份,30.0512,29.3659,2605.7321,-555.5818,97.324,2.676
25,300166,东方国信,32.7275,32.449,2028.0884,-462.4493,97.2879,2.7121
26,300333,兆日科技,35.2299,33.693,3268.5712,-2696.6353,97.2168,2.7832
27,002279,久其软件,17.844,17.7704,1346.77,1763.9766,97.185,2.815
28,300235,方直科技,45.2203,44.0955,3589.8852,-100.9738,97.16,2.84
29,300074,华平股份,30.6222,28.904,2274.5759,-80.2257,96.8145,3.1855
30,300294,博雅生物,29.0301,24.582,2377.7251,-1125.5308,96.6599,3.3401
31,002038,双鹭药业,23.7383,22.5727,912.3007,-4228.9914,96.6376,3.3624
32,300326,凯利泰,26.0019,25.3592,2343.4588,68312.0752,96.6066,3.3934
33,300295,三六五网,28.8079,28.8079,2726.6605,-1960.9749,96.6047,3.3953
34,300079,数码科技,31.3096,30.1292,2414.3129,-196.8222,96.592,3.408
35,300348,长亮科技,31.0158,30.3556,1791.2626,-1584.0016,96.4671,3.5329
36,300223,北京君正,113.0204,108.2913,10263.4586,-79.4002,96.4235,3.5765
37,002575,群兴玩具,24.6792,20.5703,1345.866,-568.7652,96.3679,3.6321
38,601519,大智慧,20.7858,20.7858,1830.5442,212.0101,96.3009,3.6991
39,002322,理工环科,19.5501,18.1694,1261.3677,-4142.0944,96.2992,3.7008
40,300251,光线传媒,25.9406,23.9811,1208.1893,-706.939,96.2971,3.7029
41,300078,思创医惠,25.2654,24.1205,2215.5935,-301.3002,96.2582,3.7418
42,000554,泰山石油,6.4699,3.656,245.5826,-21516.2405,96.2387,3.7613
43,002566,益盛药业,33.9917,30.5344,2142.8427,-352.2591,96.191,3.809
44,002320,海峡股份,18.005,17.7963,1711.5794,-654.5672,96.1113,3.8887
45,300120,经纬辉开,16.177,14.7688,870.042,-431.3702,95.8735,4.1265
46,300107,建新股份,10.2909,8.9345,645.0446,-280.652,95.87,4.13
47,002621,三垒股份,22.1773,20.3596,1938.656,-444.3828,95.8552,4.1448
48,300305,裕兴股份,18.9443,18.2339,1632.3602,-10263.4615,95.819,4.181
49,002494,华斯股份,30.4921,20.6581,1745.1106,-455.6838,95.7981,4.2019
50,300306,远方信息,24.8412,23.9038,2352.8044,-1416.805,95.7949,4.2051
51,002148,北纬科技,17.4907,17.4746,933.8242,-1001.2357,95.731,4.269
52,300059,东方财富,20.5558,20.5558,1938.3164,-96.0046,95.6755,4.3245
53,000008,神州高铁,13.9873,13.9377,1244.9914,89.4258,95.6692,4.3308
54,300050,世纪鼎利,25.1788,23.7435,1864.1753,30.3032,95.6378,4.3622
55,300110,华仁药业,11.6869,10.621,324.5051,-4549.8231,95.5437,4.4563
56,300157,恒泰艾普,17.0983,17.0983,1263.3256,-460.9807,95.5379,4.4621
57,300206,理邦仪器,33.2143,31.8749,3029.0057,-131.7741,95.4528,4.5472
58,300077,国民技术,21.1067,19.9622,1768.5324,7.0434,95.3485,4.6515
59,002389,南洋科技,17.1486,16.3605,1279.0707,-2387.412,95.2673,4.7327
60,300204,舒泰神,26.0493,25.7143,2326.6962,-604.6032,95.2627,4.7373
61,300183,东软载波,23.6949,23.0511,2144.21,-441.0013,95.12,4.88
62,002387,维信诺,11.7944,9.0617,642.3279,-816.8002,95.016,4.984
63,002393,力生制药,14.9297,13.5487,962.7755,-4745.3558,95.0042,4.9958
64,002581,未名医药,17.9204,17.1848,1484.0957,-632.027,94.9569,5.0431
65,300086,康芝药业,14.5116,13.9475,1073.239,56.6731,94.911,5.0889999999999995
66,002669,康达新材,15.4276,14.1259,859.5484,4854.9571,94.883,5.117
67,600527,江南高纤,11.9875,9.4866,585.7305,-3392.4082,94.8627,5.1373
68,002410,广联达,12.7588,12.741,1215.6205,-352.6453,94.8343,5.1657
69,300179,四方达,24.9358,21.9938,1925.4045,-182.4193,94.8281,5.1719
70,300102,乾照光电,28.2715,25.3708,1700.6958,-5113.6382,94.7869,5.2131
71,002595,豪迈科技,14.6242,13.0783,854.9177,-747.5339,94.5972,5.4028
72,300003,乐普医疗,13.3358,12.2901,815.9668,-1697.2919,94.5743,5.4257
73,000563,陕国投A,10.9961,10.9961,1075.7159,--,94.53,5.47
74,300285,国瓷材料,19.8001,17.4659,1506.7842,-1715.8887,94.5089,5.4911
75,300163,先锋新材,11.5131,8.3481,605.5186,-311.4281,94.4282,5.5718
76,002495,佳隆股份,13.1683,12.0359,1019.6266,-282.3783,94.3733,5.6267
77,600643,爱建集团,12.9409,12.7757,790.0052,2079.8382,94.2917,5.7083
78,601958,金钼股份,16.3715,13.8293,938.2281,-377.3331,94.1743,5.8257
79,300016,北陆药业,24.0008,21.7452,1510.721,-1765.7832,94.1064,5.8936
80,300314,戴维医疗,13.6447,12.4179,1191.3362,2869.7666,94.0938,5.9062
81,300017,网宿科技,13.1768,12.9241,1077.3848,-2764.301,94.0472,5.9528
82,300136,信维通信,15.1872,14.9208,1273.2035,-141.8134,94.0021,5.9979
83,002287,奇正藏药,14.2166,12.6045,719.737,-1785.1921,93.9999,6.0001
84,002622,融钰集团,15.1823,12.9521,1050.8869,-162.5779,93.9791,6.0209
85,002383,合众思壮,11.1222,9.4182,672.7123,-2058.5652,93.9717,6.0283
86,300146,汤臣倍健,13.556,12.3785,1084.0133,-1184.1929,93.9506,6.0494
87,300099,精准信息,12.3179,11.6243,670.6323,-764.8048,93.8849,6.1151
88,002635,安洁科技,13.8206,12.8651,985.451,-1616.3665,93.867,6.132999999999999
89,300194,福安药业,15.1734,13.8118,1222.8746,-254.4533,93.852,6.148
90,002553,南方轴承,12.0581,10.4346,848.87,-370.7182,93.8176,6.1824
91,000518,四环生物,9.0869,8.3038,331.6216,-2261.1231,93.8131,6.1869
92,300200,高盟新材,19.1879,17.5151,1226.5645,-495.6839,93.7868,6.2132
93,300282,三盛教育,13.821,11.4522,928.7092,-392.9061,93.7783,6.2217
94,300313,天山生物,11.9855,10.9035,1004.7673,-12646.7993,93.7596,6.2404
95,002428,云南锗业,10.7094,9.043,690.3017,-434.1766,93.7578,6.2422
96,002577,雷柏科技,12.3296,11.4118,1031.2271,-254.3114,93.7347,6.2653
97,300286,安科瑞,13.8448,12.9436,1060.2821,-3107.9815,93.7224,6.2776
98,300229,拓尔思,13.8267,13.8267,1083.4256,-112.5277,93.6917,6.3083
99,300270,中威电子,14.7494,14.1312,1013.1709,-508.3149,93.6748,6.3252
