,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600247,*ST成城,87.97,136.69,12.0412,27.2591,0.081,19.9417,0.0592
1,000720,*ST新能,34.33,139.69,18.0587,580.7119,0.4502,415.6941,0.3223
2,300272,开能健康,31.59,221.06,30.94,354.9058,0.8913,160.5411,0.4031
3,600319,亚星化学,25.92,2.24,10.8406,11.3322,0.0359,505.5381,1.6018
4,600671,天目药业,23.2,22.43,33.03,20.2764,0.1665,90.3719,0.742
5,000717,韶钢松山,22.39,14.05,16.2961,858.314,0.3547,6106.0401,2.5236
6,300618,寒锐钴业,20.98,34.56,53.1218,254.835,2.1236,737.3405,6.1445
7,300251,光线传媒,19.15,497.26,37.7633,1992.7818,0.6792,400.74699999999996,0.1366
8,600507,方大特钢,16.85,14.43,29.2191,557.4929,0.4204,3862.8590000000004,2.9129
9,300176,鸿特科技,16.7,20.66,71.0698,222.0831,2.0701,1074.5603,10.0164
10,600678,四川金顶,16.46,11.33,26.6535,5.6975,0.0163,50.2466,0.1439
11,600423,*ST柳化,16.44,1.54,17.4007,8.091000000000001,0.0202,523.1384,1.3099
12,600516,方大炭素,16.19,53.79,83.1403,1894.4676,1.0590000000000002,3521.9198,1.9688
13,002709,天赐材料,14.54,94.35,24.98,411.5068,1.2114,436.134,1.284
14,002016,世荣兆业,14.05,43.43,61.6057,405.5574,0.5012,933.6959,1.1539
15,600309,万华化学,13.27,26.06,43.0297,3545.7222,1.2968,13601.9135,4.975
16,000932,华菱钢铁,12.91,7.67,16.2349,1533.9446,0.5086,19982.9812,6.6264
17,601003,柳钢股份,12.68,9.21,12.5116,1046.0053,0.4081,11350.4057,4.4289
18,600802,福建水泥,12.67,17.19,29.5655,86.4782,0.2264,503.0255,1.3172
19,600230,沧州大化,12.64,34.0,60.1872,397.7034,1.3518,1169.4838,3.9752
20,002893,华通热力,12.61,15.45,23.6564,85.6705,0.7139,554.4704,4.6205
21,603799,华友钴业,12.59,24.79,35.1137,850.5222,1.435,3430.7159,5.7885
22,300571,平治信息,12.39,20.4,43.6123,47.7221,0.5965,233.8383,2.9229
23,002626,金达威,12.12,44.75,66.942,338.0124,0.5482,755.1751,1.2249
24,600338,西藏珠峰,11.97,40.32,71.1182,223.7491,0.3426,554.8788,0.8497
25,600809,山西汾酒,11.93,21.91,70.9493,710.0718,0.82,3239.8744,3.7418
26,603595,东尼电子,10.69,29.81,48.4521,87.9346,0.8619,294.9265,2.8909
27,002304,洋河股份,10.54,36.43,74.7852,3475.1476,2.306,9537.587,6.3289
28,002027,分众传媒,10.43,40.79,68.9396,1207.4602,0.0987,2959.5821,0.2419
29,603260,合盛硅业,10.42,28.06,43.6946,630.1169,0.9404,2245.4985,3.3514
30,002168,深圳惠程,10.36,25.85,76.8209,156.1625,0.1903,604.0578,0.7361
31,300107,建新股份,10.36,41.62,59.9459,113.8788,0.2082,273.582,0.5003
32,000952,广济药业,10.29,35.5,69.2398,86.9371,0.3453,244.8472,0.9727
33,000553,沙隆达A,10.0,31.26,34.7474,2032.027,0.8305,6499.51,2.6565
34,300554,三超新材,9.98,37.89,55.7538,52.5152,1.0099,138.5753,2.6649
35,603587,地素时尚,9.95,28.63,73.594,147.1729,0.4328,513.9774,1.5116
36,603666,亿嘉和,9.92,43.11,65.8349,34.1425,0.6487,79.1887,1.5045
37,600995,文山电力,9.91,33.57,47.1455,187.2558,0.3913,557.6551,1.1653
38,000848,承德露露,9.86,24.41,52.9435,218.6154,0.2234,895.5939,0.9152
39,000629,*ST钒钛,9.79,14.68,23.5809,467.7338,0.0544,3185.9163,0.3708
40,002001,新和成,9.67,49.04,73.4368,1493.7143,1.1818,3045.4509999999996,2.4095
41,600566,济川药业,9.58,21.94,84.6672,466.8337,0.5766,2127.6051,2.6278
42,600729,重庆百货,9.47,5.19,18.625,522.8997,1.2862,10063.0032,24.7535
43,603027,千禾味业,9.37,44.81,43.7067,109.9494,0.3372,245.352,0.7526
44,603288,海天味业,9.28,25.62,46.7025,1202.7708,0.4452,4694.4229,1.7378
45,000018,神州长城,9.25,23.66,24.7681,218.5236,0.1286,923.4427,0.5437
46,600398,海澜之家,9.18,19.54,39.9,1130.9413,0.2517,5786.2449,1.2879
47,002711,欧浦智网,9.16,14.34,7.776,166.6224,0.1577,1161.7813,1.1
48,600779,水井坊,8.92,20.68,80.7907,154.8306,0.3169,748.3380000000001,1.5317
49,600641,万业企业,8.88,41.33,65.1279,572.4221,0.71,1384.7169,1.7176
50,603369,今世缘,8.82,34.16,74.3461,509.0567,0.4057,1490.1908,1.1878
51,000537,广宇发展,8.81,21.06,35.0402,933.6229,0.5012,4431.6751,2.3793
52,603103,横店影视,8.72,20.26,33.0147,188.66299999999998,0.4164,931.0167,2.0552
53,300401,花园生物,8.68,51.76,68.5424,121.8986,0.6358,235.5005,1.2283
