,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,601997,贵阳银行,--,--,--,--,--,--
1,600699,均胜电子,0,0,0,605.3972,--,--
2,601228,广州港,--,--,--,--,--,--
3,000637,茂化实华,88.7268,76.9351,4208.4411,-9596.4411,98.9173,1.0827
4,000722,湖南发展,4.4322,4.4322,332.5707,175.1647,98.7666,1.2334
5,300108,吉药控股,49.8475,46.1838,4025.0775,22839.3548,98.7447,1.2553
6,002399,海普瑞,86.8494,73.9089,6804.0837,-5253.7948,98.7272,1.2728
7,002428,云南锗业,53.1257,50.6133,4884.1475,-1938.4237,98.4874,1.5126
8,300016,北陆药业,51.1327,48.1421,4159.0106,-855.1972,98.424,1.576
9,000656,金科股份,29.7129,29.7129,2919.7731,-440.8599,98.348,1.652
10,300074,华平股份,56.5959,55.1173,5101.1922,-476.4926,98.2301,1.7699
11,002502,骅威文化,49.5404,45.2169,3811.235,629.864,98.2283,1.7717
12,300157,恒泰艾普,63.6952,63.4759,5730.2289,3079.2553,98.2209,1.7791
13,300085,银之杰,47.898,47.7754,4255.262,-993.7235,98.1192,1.8808
14,300075,数字政通,72.8296,72.6001,6872.1754,-510.7014,98.1041,1.8959
15,300133,华策影视,51.0677,47.6247,4179.7342,-3121.0014,98.0855,1.9145
16,300107,建新股份,42.5122,40.6944,3588.466,-2540.0559,98.0529,1.9471
17,002433,太安堂,33.838,28.2351,2206.1815,-10457.8056,97.9037,2.0963
18,002320,海峡股份,35.5012,35.2182,3435.5787,-1103.5839,97.8828,2.1172
19,000681,视觉中国,36.802,36.802,3067.5991,-109.6788,97.8407,2.1593
20,002414,高德红外,39.1923,35.234,2679.0836,-2317.87,97.5591,2.4409
21,300047,天源迪科,37.2938,37.2004,3073.7919,-524.085,97.4806,2.5194
22,300067,安诺其,30.7347,26.9898,2223.5725,-1017.6733,97.4044,2.5956
23,002148,北纬科技,30.575,30.4488,2595.9112,-2160.3096,97.3758,2.6242
