,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,603609,禾丰牧业,--,--,--,--,--,--
1,002708,光洋股份,--,--,--,718.7354,--,--
2,002713,东易日盛,--,--,--,4329.1558,--,--
3,002717,岭南股份,--,--,--,560.7819,--,--
4,002722,金轮股份,--,--,--,351.5656,--,--
5,002727,一心堂,--,--,--,3441.202,--,--
6,300358,楚天科技,--,--,--,5850.9037,--,--
7,300363,博腾股份,--,--,--,3165.3669,--,--
8,300368,汇金股份,--,--,--,-1991.9202,--,--
9,300373,扬杰科技,--,--,--,21789.4183,--,--
10,300378,鼎捷软件,--,--,--,2982.5321,--,--
11,300382,斯莱克,--,--,--,-660.6837,--,--
12,300386,飞天诚信,--,--,--,--,--,--
13,300390,天华超净,--,--,--,--,--,--
14,601579,会稽山,--,--,--,--,--,--
15,603006,联明股份,--,--,--,--,--,--
16,603111,康尼机电,--,--,--,--,--,--
17,603288,海天味业,--,--,--,-10968.5823,--,--
18,603555,贵人鸟,--,--,--,1072.7376,--,--
19,002707,众信旅游,--,--,--,-811.7648,--,--
20,002712,思美传媒,--,--,--,-806.4937,--,--
21,002716,金贵银业,--,--,--,220.0779,--,--
22,002721,金一文化,--,--,--,336.2208,--,--
23,002726,龙大肉食,--,--,--,9760.7236,--,--
24,002797,第一创业,--,--,--,--,47.306,--
25,300357,我武生物,--,--,--,-12101.905,--,--
26,300367,东方网力,--,--,--,819.8425,--,--
27,300371,汇中股份,--,--,--,-914.3523,--,--
28,300377,赢时胜,--,--,--,-10363.5576,--,--
29,300381,溢多利,--,--,--,-26823.3122,--,--
30,300385,雪浪环境,--,--,--,--,--,--
31,300389,艾比森,--,--,--,2623.4013,--,--
32,601228,广州港,--,--,--,--,58.2351,--
33,603005,晶方科技,--,--,--,33772.5361,--,--
34,603100,川仪股份,--,--,--,315.4674,--,--
35,603328,依顿电子,--,--,--,--,--,--
36,600023,浙能电力,--,--,--,475.6033,--,--
37,002706,良信电器,--,--,--,4289.4707,--,--
38,002711,欧浦智网,--,--,--,660.5583,--,--
39,002715,登云股份,--,--,--,366.3474,--,--
40,002719,麦趣尔,--,--,--,1141.2492,--,--
41,002725,跃岭股份,--,--,--,2173.6185,--,--
42,300360,炬华科技,--,--,--,-4421.019,--,--
43,300366,创意信息,--,--,--,-2280.0964,--,--
44,300370,安控科技,--,--,--,--,--,--
45,300376,易事特,--,--,--,2640.0196,--,--
46,300380,安硕信息,--,--,--,-646.5805,--,--
47,300384,三联虹普,--,--,--,-854.8355,--,--
48,603009,北特科技,--,--,--,--,--,--
49,603099,长白山,--,--,--,--,--,--
50,603126,中材节能,--,--,--,--,--,--
51,603308,应流股份,--,--,--,230.545,--,--
52,603369,今世缘,--,--,--,--,--,--
53,603699,纽威股份,--,--,--,2971.4614,--,--
54,002705,新宝股份,--,--,--,239.7803,--,--
55,002714,牧原股份,--,--,--,327.8855,--,--
56,002718,友邦吊顶,--,--,--,-608.9287,--,--
57,002723,金莱特,--,--,--,272.4693,--,--
58,002728,特一药业,--,--,--,--,--,--
59,300359,全通教育,--,--,--,-2837.9937,--,--
60,300370,安控科技,--,--,--,--,--,--
61,300376,易事特,--,--,--,2640.0196,--,--
62,300380,安硕信息,--,--,--,-646.5805,--,--
63,300384,三联虹普,--,--,--,-854.8355,--,--
64,603009,北特科技,--,--,--,--,--,--
65,603099,长白山,--,--,--,--,--,--
66,603126,中材节能,--,--,--,--,--,--
67,603328,依顿电子,--,--,--,--,--,--
68,300107,建新股份,76.7749,64.842,4012.0502,-280.7513,99.1945,0.8055
69,000672,上峰水泥,100.8702,100.8702,32.6442,7958.3953,99.0086,0.9914
70,300288,朗玛信息,76.714,76.714,5927.3451,-691.9382,98.7726,1.2274
71,300333,兆日科技,65.1843,61.8996,5969.185,-222.4911,98.6209,1.3791
72,002399,海普瑞,88.1912,81.6628,7390.7853,-187.7864,98.4631,1.5369
73,300348,长亮科技,64.2769,63.7362,4887.2989,-283.7585,98.4299,1.5701
74,000722,湖南发展,12.3673,12.3223,1021.4721,-2128.0119,98.296,1.704
75,002568,百润股份,43.5346,42.6144,3773.2489,-205.3254,98.1805,1.8195
76,002502,骅威文化,41.6184,37.3094,2665.0216,-50.2613,98.0889,1.9111
77,300223,北京君正,102.3673,97.3626,9180.746,-3.061,97.9936,2.0064
78,300053,欧比特,36.7021,31.3979,1794.6399,-1916.3339,97.6662,2.3338
79,002279,久其软件,23.6105,23.5528,1558.3044,1924.435,97.5744,2.4256
80,300163,先锋新材,33.092,23.2992,909.5249,-645.95,97.5737,2.4263
81,002414,高德红外,23.4242,16.2106,449.7473,-972.2193,97.4969,2.5031
82,300067,安诺其,28.9234,23.3919,1522.3241,-522.9235,97.425,2.575
83,002550,千红制药,39.1479,36.6319,2297.0232,-309.7716,97.3506,2.6494
84,300085,银之杰,31.3008,30.457,2296.3357,22.6756,97.3105,2.6895
85,300315,掌趣科技,32.0191,32.0191,2906.1649,-302.1616,97.2665,2.7335
86,002495,佳隆股份,20.8983,18.9504,1586.3497,-567.4777,97.1356,2.8644
87,300191,潜能恒信,49.8277,49.8259,3675.5648,-352.9624,97.0873,2.9127
88,002558,巨人网络,9.1161,8.3611,448.4512,3949.4981,96.9791,3.0209
89,300074,华平股份,34.8795,32.902,2309.079,-112.0319,96.8716,3.1284
90,300346,南大光电,19.9815,15.5653,1191.6757,-187.5118,96.8086,3.1914
91,002540,亚太科技,24.3566,21.6752,381.6644,-903.1191,96.7971,3.2029
92,002320,海峡股份,15.5265,15.294,1440.4171,-764.7924,96.7688,3.2312
93,300050,世纪鼎利,28.1578,26.7965,2158.0591,179.5315,96.6539,3.3461
94,002410,广联达,20.0731,20.0296,1914.9341,-1544.7395,96.5706,3.4294
95,300295,三六五网,27.6522,27.6522,2613.9936,-312.0831,96.4691,3.5309
96,002038,双鹭药业,20.9482,19.6227,1058.8765,-4809.4354,96.4406,3.5594
97,300264,佳创视讯,30.7104,28.7965,1835.3328,278.7497,96.3559,3.6441
98,002693,双成药业,40.4481,39.033,1480.827,-228.3657,96.3454,3.6546
99,300086,康芝药业,19.2337,18.2834,1585.9951,-6.3349,96.1981,3.8019
100,002675,东诚药业,28.7081,23.4008,1802.7564,-1450.5106,96.0792,3.9208
101,002699,美盛文化,21.095,19.0923,1739.6706,-114.8933,96.0136,3.9864
102,600527,江南高纤,16.9707,11.4073,624.1125,-2865.5151,95.9966,4.0034
103,300354,东华测试,24.5141,20.9558,1483.7934,1362.0543,95.8855,4.1145
104,002581,未名医药,19.799,18.7368,1594.2728,-875.592,95.8533,4.1467
105,300294,博雅生物,21.4585,18.1612,1763.7336,-573.4475,95.7664,4.2336
106,300326,凯利泰,21.3488,20.7584,1707.2003,-534.2104,95.6836,4.3164
107,300306,远方信息,21.813,21.0305,1920.8175,-440.223,95.6608,4.3392
108,300235,方直科技,27.5616,26.7809,1837.6067,-710.8607,95.6223,4.3777
109,300183,东软载波,25.2629,24.7329,2263.4513,-536.0516,95.4848,4.5152
110,300351,永贵电器,21.7597,19.9591,1603.6705,-297.8979,95.4219,4.5781
111,300079,数码科技,23.2412,22.1911,1608.7045,-120.3428,95.4179,4.5821
112,002195,二三四五,14.8857,14.7438,1277.2839,-1041.2213,95.3613,4.6387
113,002322,理工环科,15.823,14.7792,1005.5315,-3030.1741,95.3484,4.6516
114,300305,裕兴股份,18.7204,17.2324,1494.8346,-544.9402,95.3347,4.6653
115,300170,汉得信息,19.248,19.1712,1417.6779,-989.8426,95.3339,4.6661
116,002432,九安医疗,15.9593,12.3037,917.0128,69.5407,95.3257,4.6743
117,002621,三垒股份,17.3931,16.1079,1510.9388,-447.243,95.3222,4.6778
118,300347,泰格医药,19.0125,19.0085,1518.7773,-579.2624,95.2926,4.7074
119,300078,思创医惠,20.0014,19.1336,1719.7247,--,95.2752,4.7248
120,002622,融钰集团,18.6949,16.4965,1439.7706,6.4391,95.2269,4.7731
121,300077,国民技术,20.5031,19.3626,1705.7523,49.5934,95.2151,4.7849
122,300282,三盛教育,17.1998,13.9318,1169.7072,74.1518,95.2136,4.7864
123,600643,爱建集团,11.9625,11.7968,786.8755,-6347.6095,95.2062,4.7938
124,002566,益盛药业,22.7821,19.4669,1449.6077,-230.4179,95.1936,4.8064
125,002287,奇正藏药,22.6855,20.4763,1112.0871,-6699.1091,95.165,4.835
126,002148,北纬科技,11.9382,11.9261,537.5325,-3600.0031,95.0737,4.9263
127,300139,晓程科技,16.4126,12.8685,951.433,-368.387,95.0237,4.9763
128,002626,金达威,15.0086,13.0162,1047.4325,-834.9585,95.0024,4.9976
129,002063,远光软件,25.9244,25.9244,1483.7403,-1628.4572,94.8254,5.1746
130,300316,晶盛机电,17.6759,15.6035,1142.1093,-183.779,94.816,5.184
131,002639,雪人股份,13.8726,11.890999999999998,630.4479,-5458.7682,94.8106,5.1894
132,300153,科泰电源,15.7822,12.6098,925.6718,-8.5161,94.7958,5.2042
133,002393,力生制药,12.9114,11.385,892.3382,-27973.314,94.7854,5.2146
134,300353,东土科技,14.1666,13.1141,972.1184,80.0255,94.7321,5.2679
135,300099,精准信息,13.764000000000001,13.0646,716.8778,-869.8171,94.7075,5.2925
136,300166,东方国信,15.0476,14.5559,669.7004,-1241.1801,94.6979,5.3021
137,300003,乐普医疗,14.1565,12.8387,727.6172,-2053.3927,94.6638,5.3362
138,300150,世纪瑞尔,18.1821,17.4959,1402.8175,13.5834,94.6277,5.3723
139,002388,新亚制程,16.5985,14.5277,1000.45,-168.3209,94.5781,5.4219
140,000554,泰山石油,3.2677,1.6435,125.1843,10474.7749,94.5168,5.4832
141,300318,博晖创新,13.9536,13.5767,1239.1909,-2351.3153,94.50200000000001,5.497999999999999
142,300122,智飞生物,15.8885,14.0593,1028.411,-714.5668,94.4631,5.5369
143,300308,中际旭创,14.0204,11.7421,869.5117,-13450.5186,94.4334,5.5666
144,600615,丰华股份,13.3182,1.5438,150.0589,113.0826,94.3716,5.6284
145,002351,漫步者,14.8416,13.6412,570.22,-566.2999,94.3283,5.6717
146,300194,福安药业,16.4074,15.0357,1277.0222,-136.0308,94.2616,5.7384
147,300059,东方财富,15.5125,15.5125,1464.3157,223.9285,94.1529,5.8471
148,600506,香梨股份,16.5211,13.2969,1017.6795,2868.8278,94.1526,5.8474
149,300214,日科化学,13.6104,11.3786,369.07300000000004,-3501.8485,94.1105,5.8895
150,601519,大智慧,12.3201,12.3185,1075.2488,428.0214,94.1003,5.8997
151,300352,北信源,16.3552,16.1856,1077.2243,-35.0536,94.07600000000001,5.9239999999999995
152,300180,华峰超纤,10.6393,8.7511,554.7595,-954.3178,94.0586,5.9414
153,601996,丰林集团,17.9409,12.1239,874.4195,-200.6805,93.9849,6.0151
154,300149,量子生物,11.0596,10.2795,716.2805,-274.1993,93.9463,6.0537
155,300327,中颖电子,14.9191,13.3714,1145.0001,-45.3844,93.9117,6.0883
156,600135,乐凯胶片,10.16,6.1915,228.3622,5418.2372,93.8599,6.1401
157,300052,中青宝,13.8614,13.8523,1167.4103,62.9405,93.8434,6.1566
158,300209,天泽信息,13.6811,13.3121,1178.1482,25.2587,93.7591,6.2409
159,300309,吉艾科技,20.0362,18.9894,1142.3033,-538.9144,93.6876,6.3124
160,002577,雷柏科技,11.4682,10.8048,988.98,-259.5623,93.5535,6.4465
161,002348,高乐股份,10.5666,9.3998,647.7488,-1211.1987,93.5219,6.4781
162,300286,安科瑞,12.9504,11.8638,1003.1976,-129.8992,93.4579,6.5421
163,300167,迪威迅,14.743,13.2222,779.9472,299.5749,93.45,6.55
164,300267,尔康制药,12.9654,10.9513,824.6095,-1186.788,93.4343,6.5657
165,002107,沃华医药,11.6851,10.789000000000001,911.133,323.2698,93.4279,6.5721
166,002517,恺英网络,8.1246,5.7995,187.5461,-1055.263,93.3786,6.6214
167,300314,戴维医疗,12.3305,11.4089,1063.1238,-1450.138,93.3411,6.6589
168,300206,理邦仪器,28.5963,27.396,2573.958,-67.3512,93.2798,6.7202
169,000975,银泰资源,5.0337,4.9534,217.9192,-5979.5346,93.2244,6.7756
170,300155,安居宝,13.3693,12.0106,1066.989,14.8964,93.1791,6.8209
171,300127,银河磁体,12.5814,11.5547,957.4191,-387.2143,93.17,6.83
172,000563,陕国投A,7.3939,7.3939,723.5414,--,93.1493,6.8507
173,002494,华斯股份,28.6561,15.8328,1346.8908,-1863.8331,93.1031,6.8969
174,300272,开能健康,9.8323,7.9112,619.5042,-520.9164,93.1015,6.8985
175,002595,豪迈科技,11.3925,9.7962,647.697,-2168.4866,93.0598,6.9402
176,300157,恒泰艾普,8.0505,7.7291,455.1565,-365.4806,93.0351,6.9649
177,002555,三七互娱,7.9438,6.8564,535.3247,28.0841,93.0224,6.9776
178,300179,四方达,27.5578,25.0967,1834.4999,-266.1239,92.99700000000001,7.002999999999999
179,300102,乾照光电,14.6743,13.2511,706.1136,-1652.3871,92.9382,7.0618
180,300159,新研股份,13.3885,11.6084,862.3081,64.4651,92.92399999999999,7.0760000000000005
181,300144,宋城演艺,6.9385,6.9322,539.9532,-1387.9634,92.8779,7.1221
182,002690,美亚光电,13.1069,12.3355,1060.7525,-238.3995,92.8009,7.1991
183,300200,高盟新材,14.4935,12.9194,799.7387,-439.4063,92.7872,7.2128
184,002553,南方轴承,10.3552,9.0248,767.1849,-452.9703,92.7344,7.2656
185,000831,五矿稀土,11.4161,4.1375,399.2615,-1473.0221,92.7264,7.2736
186,000088,盐田港,7.1542,7.1541,678.9258,-8700.8838,92.7228,7.2772
187,300165,天瑞仪器,17.9518,15.7166,1461.0474,-255.6862,92.7226,7.2774
188,002106,莱宝高科,11.5501,10.7206,861.0112,-275.6542,92.7091,7.2909
189,600883,博闻科技,8.7601,8.2285,413.707,-603.8275,92.7035,7.2965
190,300229,拓尔思,11.4195,11.4195,759.9227,38.1469,92.6989,7.3011
191,600573,惠泉啤酒,5.6267,3.592,329.3485,4956.6114,92.6881,7.3119
192,002658,雪迪龙,12.2074,10.4998,721.2169,-209.2467,92.6599,7.3401
193,600149,ST坊展,5.7084,4.5995,141.4766,698.3634,92.6583,7.3417
194,300076,GQY视讯,11.3821,10.2299,729.4481,-45.2274,92.6447,7.3553
195,300222,科大智能,11.3834,10.5343,723.4545,-62.6277,92.5291,7.4709
196,002273,水晶光电,8.7015,7.2456,500.1679,-69978.9019,92.4869,7.5131
197,002695,煌上煌,11.0206,9.1256,846.7761,-820.0494,92.4717,7.5283
198,300251,光线传媒,11.0385,9.3109,465.3886,-4802.5856,92.4207,7.5793
199,300124,汇川技术,13.6875,12.8688,1040.0984,-471.0132,92.3906,7.6094
200,300199,翰宇药业,32.967,31.9059,2073.6994,-610.7502,92.3373,7.6627
201,000892,欢瑞世纪,13.0164,13.0164,1294.9399,4635.2261,92.3174,7.6826
202,300046,台基股份,10.9112,9.4376,749.3024,-367.0011,92.2911,7.7089
203,300045,华力创通,11.4341,10.3137,559.3965,-751.7205,92.255,7.745
204,002308,威创股份,12.3812,11.1195,872.2489999999999,-4973.5476,92.2316,7.7684
205,002528,英飞拓,11.7623,10.2584,869.1988,378.2057,92.2261,7.7739
206,300302,同有科技,13.4958,12.835999999999999,997.6003,-20.3229,92.1857,7.8143
207,002662,京威股份,9.975,8.1985,627.3675,-630.7809,92.1644,7.8356
208,002631,德尔未来,9.1899,8.4592,771.6599,-228.862,92.1635,7.8365
209,300042,朗科科技,12.4215,11.4613,930.1101,-51.0949,92.1567,7.8433
210,002552,*ST宝鼎,6.9115,5.3811,278.4177,-511.5559,92.13799999999999,7.862
211,002364,中恒电气,10.118,8.7153,421.1846,-930.0182,92.1228,7.8772
212,002222,福晶科技,4.2476,2.4559,127.7757,6610.6769,92.0799,7.9201
213,002509,天广中茂,7.5896,7.056,364.7105,-2040.0591,92.0669,7.9331
214,002666,德联集团,10.8812,7.7331,535.1962,-1711.5399,92.0049,7.9951
215,002476,宝莫股份,7.8746,6.8366,242.5548,-1145.6657,91.9807,8.0193
216,300120,经纬辉开,9.437000000000001,8.568999999999999,492.1202,-4681.6082,91.9708,8.0292
217,002473,*ST圣莱,7.0612,6.2133,451.3184,-56.1527,91.9226,8.0774
218,300248,新开普,13.1444,11.8434,694.2860000000001,60.8588,91.8347,8.1653
219,600311,荣华实业,4.2914,3.9769,358.2686,-192.4335,91.7987,8.2013
220,300275,梅安森,10.9772,10.0432,594.7228,-2278.47,91.7873,8.2127
221,600382,广东明珠,2.0368,1.9657,185.0478,-100.1684,91.6955,8.3045
222,002474,榕基软件,12.0212,10.9435,939.0269999999999,-313.5697,91.6764,8.3236
223,002261,拓维信息,8.5893,7.6358,517.2551,-689.4459,91.6391,8.3609
224,300270,中威电子,10.0803,9.7286,638.5994,-972.7439,91.6158,8.3842
225,000637,茂化实华,6.0985,6.0985,138.764,645.9769,91.5716,8.4284
226,000096,广聚能源,5.8871,4.7496,424.9259,216.8582,91.5705,8.4295
227,300108,吉药控股,4.5509,3.7854,26.8103,1580.9844,91.5406,8.4594
228,300030,阳普医疗,8.8441,8.0917,317.1447,-397.2773,91.5096,8.4904
229,002677,浙江美大,7.2883,6.9234,402.9069,-1809.4355,91.5036,8.4964
230,300189,神农基因,11.368,8.4508,540.9247,-2714.6969,91.4566,8.5434
231,002464,众应互联,6.108,5.5795,404.1293,-806.8883,91.4028,8.5972
232,300338,开元股份,9.352,8.0943,532.1012,-272.236,91.321,8.679
233,300285,国瓷材料,8.277000000000001,6.8458,559.0838,-9704.896,91.2899,8.7101
234,002383,合众思壮,8.0211,6.6657,456.7362,3988.5715,91.2859,8.7141
235,300075,数字政通,11.7542,10.9226,828.4453,-166.9293,91.179,8.821
236,300113,顺网科技,9.7385,9.7382,861.4706,-848.788,91.17,8.83
237,002406,远东传动,8.3689,6.892,209.53400000000002,-3184.199,91.1513,8.8487
238,300109,新开源,4.3181,2.1256,83.20299999999999,1354.6856,91.0965,8.9035
239,002572,索菲亚,8.6875,8.183,691.1386,-371.4693,91.0852,8.9148
240,300184,力源信息,9.0892,5.1861,410.3261,-306.029,91.0578,8.9422
241,600276,恒瑞医药,8.6868,8.047,285.8605,-28595.8563,91.0488,8.9512
242,601958,金钼股份,15.6212,13.4377,983.8126,-300.8598,90.9225,9.0775
243,002188,*ST巴士,5.9172,4.9035,329.9604,-353.8217,90.9137,9.0863
244,000819,岳阳兴长,7.2593,6.7442,611.764,-2413.8351,90.90100000000001,9.099
245,002007,华兰生物,7.1621,6.1303,303.3624,-1265.5035,90.845,9.155
246,300182,捷成股份,9.1569,8.7091,540.6281,-1544.7605,90.8176,9.1824
247,300033,同花顺,9.3237,9.3237,902.7185,13.5165,90.7976,9.2024
248,002317,众生药业,10.5904,9.626,676.3263,-1886.2471,90.6879,9.3121
249,002198,嘉应制药,2.9151,2.0565,75.8984,889.2706,90.6668,9.3332
