,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600057,厦门象屿,134.26,6506.55,24.8154,117.3845,0.273,1.8041,0.0041
1,000921,海信科龙,130.14,3.46,16.6262,329.3915,0.2432,9517.0146,7.0285
2,600515,海航基础,128.48,40.25,30.6489,92.2494,0.3121,229.1767,0.7753
3,000403,ST生化,86.18,7.56,54.2791,22.2661,0.1051,294.2361,1.3899
4,600609,金杯汽车,83.24,8.09,11.4729,172.4476,0.1578,2131.0964,1.9503
5,000716,黑芝麻,47.13,88.94,38.1563,153.5757,0.8615,172.6543,0.9685
6,601558,ST锐电,39.62,16.87,22.5267,1273.863,1.4154,7547.1602,8.3857
7,300146,汤臣倍健,33.73,33.72,63.2861,54.4833,1.3288,161.5516,3.9402
8,300223,北京君正,32.09,44.27,58.1387,49.9221,,112.7604,
9,600031,三一重工,31.97,16.96,37.598,2875.242,1.1926,16946.0005,7.0294
10,300183,东软载波,30.59,44.9,63.1542,36.9398,0.4925,82.2662,1.0968
11,600728,佳都科技,30.1,4.75,32.9867,5.9611,0.0183,125.3231,0.3858
12,300194,福安药业,29.15,25.82,45.0471,62.5399,,242.1945,
13,300124,汇川技术,29.06,31.9,51.6231,88.412,1.0915,277.0824,3.4207
14,300113,顺网科技,28.21,35.02,93.5087,21.0344,0.4674,60.0624,1.3347
15,002493,荣盛石化,27.47,8.15,15.0895,575.2395,1.1504,7056.8969,14.1137
16,600712,南宁百货,27.19,10.3,16.4647,90.6065,0.5219,878.9415,5.0628
17,300171,东富龙,27.13,28.89,47.9061,69.2933,1.1548,239.8122,3.9968
18,002483,润邦股份,26.46,15.9,27.2746,91.0284,0.6068,572.4985,3.8166
19,600081,东风科技,25.75,10.92,20.5015,125.0364,0.3987,1144.1566,3.6489
20,002550,千红制药,25.55,12.59,23.969,83.6233,0.6968,664.1663,5.5347
21,002563,森马服饰,25.25,15.38,36.1922,338.81300000000005,,2201.9004,
22,002489,浙江永强,25.24,13.73,28.869,209.8328,1.1657,1527.6893,8.4871
23,300133,华策影视,24.84,40.29,60.1458,60.0056,1.4165,148.9028,3.5151
24,000425,徐工机械,24.79,10.47,20.5401,1382.4356,1.5936,13199.6001,15.2166
25,300142,沃森生物,24.45,44.67,91.8893,56.5619,0.7541,126.6144,1.6881
26,000568,泸州老窖,24.44,42.53,70.1428,1042.5928,0.7477,2451.1396,1.758
27,601717,郑煤机,24.19,14.27,23.9452,450.5952,0.8046,3155.762,5.6352
28,002482,广田集团,24.13,5.23,12.5505,96.3483,0.8029,1839.8939,15.3324
29,002889,东方嘉盛,24.03,3.39,1.8816,88.5823,,2611.3437,
30,002706,良信电器,23.77,20.13,40.6774,36.654,,182.0821,
31,601258,庞大集团,23.71,2.43,10.4772,632.7947,0.6964,26019.9309,28.6373
32,600970,中材国际,23.27,6.08,13.8871,629.8604,0.8295,10351.9028,13.6346
33,600869,智慧能源,23.26,19.29,38.7634,22.7862,0.1898,118.1214,0.9843
34,300144,宋城演艺,22.78,39.15,76.1965,71.0838,0.5641,181.5403,1.4407
35,600166,福田汽车,22.77,3.79,12.2173,1147.0172,1.2516,30200.9269,32.9557
36,300162,雷曼股份,22.53,21.48,39.2154,18.8347,0.3751,87.6843,1.7466
37,300122,智飞生物,22.5,39.63,69.0364,131.1395,0.3642,330.8263,0.9189
38,002128,露天煤业,22.11,27.32,42.6491,832.2486,0.6273,3046.1043,2.296
39,002570,*ST因美,21.96,9.52,62.7049,192.0486,,2015.9977,
40,000338,潍柴动力,21.96,9.73,23.4114,3234.5888,3.8828,33224.4064,39.883
41,300136,信维通信,21.95,35.01,60.2552,22.8911,0.4578,65.3701,1.3074
42,000792,盐湖股份,21.89,28.22,60.3699,772.6378,1.0066,2737.2459999999996,3.5662
43,002606,大连电瓷,21.87,16.42,37.7546,47.8326,,291.2637,
44,603009,北特科技,21.87,15.74,34.8491,21.1771,,134.4682,
45,002454,松芝股份,21.79,20.32,35.7073,128.3878,0.7132,631.7094,3.5094
46,300166,东方国信,21.73,31.1,54.174,17.7834,0.5864,57.1725,1.8853
47,002537,海联金汇,21.47,4.68,9.0173,52.1196,0.6949,1112.0537,14.8273
48,300190,维尔利,21.34,21.74,43.6717,19.8795,0.5007,91.4183,2.3027
49,300197,铁汉生态,21.34,15.1,31.4588,44.6148,,295.4422,
50,600375,华菱星马,21.32,7.18,13.6625,149.05700000000002,0.795,2074.8917,11.0671
51,300165,天瑞仪器,21.31,31.58,73.3142,39.5805,0.7131,125.2985,2.2576
52,002497,雅化集团,21.17,23.52,51.1608,87.5561,0.7296,372.1153,3.1009
53,300102,乾照光电,21.14,46.41,61.4182,60.3209,0.6815,129.9713,1.4686
54,601137,博威合金,21.07,6.24,11.3589,59.5993,0.3724,954.5176,5.9657
