,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000017,深中华A,22492.48,581.02,10.2858,1575.2239,2.8569999999999998,271.1117,0.4917
1,000035,中国天楹,9070.54,2765.07,11.4437,1131.547,5.9884,40.9228,0.2165
2,600556,ST慧球,2373.83,76.73,31.151999999999997,32.6448,0.0826,42.5401,0.1077
3,600769,祥龙电业,1477.52,1611.85,1.9571,515.7327,1.3753,31.9963,0.0853
4,600603,广汇物流,1431.99,264.42,41.0066,123.1112,0.6325,46.5589,0.2392
5,000504,南华生物,1307.97,52.51,-4.2646,13.8015,0.0442,26.2809,0.0843
6,600155,华创阳安,864.22,967.41,4.8523,693.6362,1.6815,71.7,0.1738
7,600421,ST仰帆,419.74,12.38,2.2766,13.7975,0.0705,111.4181,0.5696
8,600074,*ST保千,253.65,16.97,4.0202,237.9633,0.3598,1401.5011,2.1195
9,000751,锌业股份,225.83,99.7,9.3001,4174.5318,2.9609,4186.8083,2.9696
10,600301,ST南化,193.68,7.03,-9.4274,47.7053,0.2028,678.0199,2.8833
11,600385,山东金泰,157.26,4.98,4.828,26.828000000000003,0.1811,537.9337,3.6319999999999997
12,603258,电魂网络,104.44,64.52,97.3376,303.9345,1.6885,471.0351,2.6168
13,000056,皇庭国际,103.75,6575.54,30.8384,2320.697,10.5055,35.2928,0.1597
14,600444,国机通用,95.23,1.1,10.0614,4.6499,0.0442,421.50300000000004,4.0143
15,000958,东方能源,93.83,91.82,3.5049,668.2861,2.2314,727.7751,2.43
16,603895,天永智能,85.42,22.03,39.5761,46.9658,,213.1191,
17,002895,川恒股份,84.15,135.16,11.94,1076.2793,,796.2562,
18,603387,基蛋生物,78.06,42.56,83.4069,65.6278,,154.1954,
19,603357,设计总院,77.9,31.08,46.7854,243.7703,,784.3107,
20,603444,吉比特,77.22,56.95,97.6932,157.5389,2.9517,276.6077,5.1827
21,600338,西藏珠峰,76.74,1.33,1.6793,20.8837,0.1318,1569.0742,9.9099
22,600234,ST山水,76.17,321.35,98.5536,33.5637,0.1657,10.4445,0.0515
23,002928,华夏航空,74.58,11.47,24.2619,99.4903,,866.7199,
24,603177,德创环保,70.44,19.72,41.6894,147.1707,0.9714,746.2522,4.9257
25,002845,同兴达,70.04,6.46,14.9512,99.7188,1.3849,1541.868,21.4148
26,603156,养元饮品,68.72,21.28,38.4026,1582.1054,,7431.4209,
27,000908,景峰医药,68.17,2.01,21.3362,3.3691,0.012,167.3079,0.5975
28,300743,天地数码,62.73,12.19,36.2429,30.3823,,249.1147,
29,000603,盛达矿业,62.66,34.38,82.6378,289.8431,0.5739,842.9993,1.6693
30,300620,光库科技,61.09,22.93,55.2293,20.4444,,89.1237,
31,300590,移为通信,59.81,30.33,58.5233,44.7035,0.745,147.3521,2.4558
32,300494,盛天网络,57.81,59.45,90.8387,126.7191,1.4079,213.127,2.3680000000000003
33,300558,贝达药业,57.68,37.11,95.5542,178.3988,0.4955,480.69800000000004,1.3352
34,300685,艾德生物,56.1,29.64,93.2345,22.0497,,74.3778,
35,002932,明德生物,53.85,28.21,70.592,7.3221,1.2203,25.9475,4.3245
36,300653,正海生物,53.74,20.37,91.9241,15.7673,,77.377,
37,603283,赛腾股份,53.39,20.96,48.7841,23.3219,,111.2598,
38,603377,东方时尚,52.37,27.83,61.1686,266.3548,0.7198,956.8626,2.5861
39,300418,昆仑万维,51.07,28.86,71.4915,435.9064,2.0757,1509.9928,7.1904
40,300668,杰恩设计,49.96,25.39,50.6818,28.436,,111.9952,
41,603587,地素时尚,48.55,21.75,72.5468,290.793,,1336.5475,
42,603801,志邦股份,48.45,7.63,38.9369,74.0229,,969.5631,
43,300533,冰川网络,48.36,46.51,90.9312,126.64200000000001,1.6885,272.2572,3.63
44,300467,迅游科技,48.33,31.79,71.793,45.8591,1.5286,144.2453,4.8081
45,603528,多伦科技,48.32,31.15,60.6278,140.7985,0.9083,451.8998,2.9154
46,603421,鼎信通讯,47.63,38.05,59.8299,249.2153,0.639,654.9378,1.6793
47,300628,亿联网络,47.48,29.85,53.591,100.0934,,335.3195,
48,002841,视源股份,47.46,5.02,18.4451,163.8856,0.4514,3264.3777,8.9927
49,603229,奥翔药业,47.26,12.85,46.443000000000005,15.5527,,120.9486,
50,300559,佳发教育,47.19,38.39,54.0253,80.1713,1.4901,208.7883,3.8808
51,603516,淳中科技,46.87,36.12,58.3509,39.4386,1.1832,109.1753,3.2755
52,300613,富瀚微,46.71,23.52,52.4084,28.9141,,122.9076,
53,603816,顾家家居,46.32,15.05,39.9992,403.6305,1.2231,2681.7482,8.1265
54,300731,科创新源,46.17,35.58,55.1138,31.1743,,87.61399999999999,
55,002925,盈趣科技,45.91,17.62,31.9969,62.011,,351.838,
56,000757,浩物股份,45.9,12.43,29.2315,55.0666,0.1503,442.7821,1.2086
57,603393,新天然气,45.72,26.12,33.9511,202.0919,1.6840000000000002,773.56,6.4463
58,300686,智动力,45.58,17.51,32.4163,90.8565,,518.8167,
59,600892,大晟文化,45.46,0.46,3.593,2.8252,0.0447,605.7079,9.5953
60,000921,海信科龙,45.07,5.08,21.8398,1239.0051,0.915,24360.0213,17.9904
61,002853,皮阿诺,44.7,13.08,38.9536,54.994,,420.3883,
62,603303,得邦照明,44.03,7.17,19.0,176.8203,,2464.6635,
63,300679,电连技术,43.94,33.01,55.2042,154.7877,,468.8896,
64,600280,中央商场,43.86,7.79,25.506,570.2857,0.9932,7318.643,12.7465
65,603076,乐惠国际,43.84,6.6,25.4831,47.5259,,719.9611,
66,300681,英搏尔,43.58,4.59,25.8375,3.4421,,74.911,
67,603160,汇顶科技,43.4,37.43,65.794,256.6369,0.6415,685.6209,1.714
68,002901,大博医疗,43.19,47.77,79.2837,96.81200000000001,,202.6546,
69,300458,全志科技,43.06,25.38,41.32,418.9316,3.491,1650.0992,13.7508
70,603868,飞科电器,42.51,14.02,34.0915,290.5815,0.7412,2072.4329,5.2868
71,300656,民德电子,42.34,30.2,51.5952,21.5993,,71.5041,
72,300583,赛托生物,42.05,14.65,29.6497,41.5616,0.5195,283.5879,3.5448
73,603991,至正股份,41.94,9.57,31.7385,20.953000000000003,,218.8782,
74,300582,英飞特,41.84,24.26,38.808,93.6962,0.9464,386.1417,3.9004
75,002745,木林森,41.8,15.05,30.0974,432.6822,1.0817,2873.6466,7.1841
76,603326,我乐家居,41.72,8.59,32.2944,40.209,,467.6634,
77,603277,银都股份,41.41,14.52,30.8986,85.4021,1.1386,588.0672,7.8408
78,300615,欣天科技,41.06,30.85,51.5746,52.256,0.8709,169.3369,2.8222
79,603881,数据港,41.05,16.63,38.8048,33.2914,0.2107,200.1026,1.2669
80,603288,海天味业,41.03,19.12,39.2316,1606.4188,2.2593,8401.5893,11.8165
81,002898,赛隆药业,40.97,20.72,59.6728,45.8771,,221.3421,
82,603533,掌阅科技,40.94,22.99,51.4848,52.2193,,227.0666,
83,600340,华夏幸福,40.82,12.89,33.812,2714.8948,2.0522,21059.7536,15.9196
84,300659,中孚信息,40.81,23.66,58.0952,41.6825,,176.1275,
85,300484,蓝海华腾,40.77,27.79,51.0225,59.3208,1.521,213.4189,5.4722
86,603380,易德龙,40.51,9.63,27.1803,34.0032,,352.8236,
87,603916,苏博特,40.38,11.54,34.8786,185.5556,,1607.1192,
88,002833,弘亚数控,40.32,23.25,38.0363,68.1246,0.6812,292.9515,2.9295
89,300436,广生堂,40.01,32.14,85.3917,57.2622,1.0225,178.155,3.1813
90,603773,沃格光电,39.7,27.99,52.3801,46.2811,0.8119,165.3094,2.9001
91,002880,卫光生物,39.69,25.02,49.3568,88.8806,,355.2104,
92,300386,飞天诚信,39.68,23.78,40.0319,201.1759,2.6823,845.8245,11.2776
93,603098,森特股份,39.5,19.55,33.5104,236.4113,0.7004,1208.8281,3.5817
94,603848,好太太,39.4,16.56,33.1148,84.2017,,508.2347,
95,300433,蓝思科技,39.28,18.3,31.6778,2444.0011,4.033,13351.6489,22.0324
96,000049,德赛电池,38.58,4.67,14.5265,206.02599999999998,1.5057,4402.4988,32.1751
97,603605,珀莱雅,38.43,12.46,66.4273,178.2009,,1429.8652,
98,600988,赤峰黄金,38.2,39.21,72.0345,228.075,0.805,581.6189,2.0529
99,300567,精测电子,38.0,34.46,58.1009,49.7394,3.9045,144.3345,11.3302
100,300496,中科创达,37.97,28.75,52.1929,96.6809,1.2890000000000001,336.2725,4.4836
101,300406,九强生物,37.92,40.62,68.2404,180.6374,1.8063,444.6254,4.4462
102,300550,和仁科技,37.83,31.42,64.7353,43.9393,0.7323,139.832,2.3305
103,002749,国光股份,37.73,21.25,48.9382,128.0365,2.1339,602.4215,10.0403
104,600076,康欣新材,37.71,381.12,17.9366,52.0905,0.1425,13.6675,0.0373
