,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600155,华创阳安,69.08,118.76,2.7797,286.2728,0.6006,241.0433,0.5057
1,002568,百润股份,58.55,31.88,77.7464,701.0257,0.7823,2198.4758,2.4536
2,600870,*ST厦华,55.82,22.0,7.5697,6.6496,0.0127,30.2219,0.0577
3,002506,协鑫集成,54.69,6.56,11.5725,376.6235,0.1492,5732.6844,2.2717
4,000520,长航凤凰,46.64,18.48,12.7587,108.8259,0.1075,588.5767,0.5815
5,300059,东方财富,44.13,64.29,88.3693,1475.4098,0.8681,2294.6079,1.3501
6,600766,园城黄金,43.91,276.74,100.0,24.4288,0.1089,8.8272,0.0393
7,600556,ST慧球,34.87,2.14,31.9332,1.0615,0.0026,49.4548,0.1252
8,603169,兰石重装,34.71,31.74,49.0563,662.1651,0.7,2086.1365,2.2055
9,000963,华东医药,33.09,5.74,24.3481,927.4152,2.1366,16156.3579,37.2214
10,600889,南京化纤,32.94,40.02,14.2021,459.1984,1.4954,1147.1489,3.7357
11,600894,广日股份,31.91,55.95,22.493000000000002,2002.8086,2.3289,3579.4956,4.1624
12,002323,*ST百特,31.25,28.26,43.9856,163.608,0.6581,578.807,2.3284
13,603444,吉比特,30.89,59.83,96.42,137.5004,,229.7862,
14,600340,华夏幸福,30.59,15.03,36.7745,3763.3635,1.4224,25030.4841,9.4606
15,600753,东方银星,30.37,3239.29,57.8368,44.2205,0.3454,1.3651,0.0106
16,600398,海澜之家,30.03,20.21,39.8231,2289.5728,0.5096,11324.6876,2.5206
17,300033,同花顺,29.48,63.71,84.23899999999999,489.3088,0.9101,767.9519,1.4284
18,002015,霞客环保,29.13,36.92,8.1311,90.6686,0.2262,245.5353,0.6127
19,000626,远大控股,28.89,0.65,0.7558,263.0583,1.2990000000000002,39916.5778,197.1189
20,000018,神州长城,28.14,8.31,19.6287,242.5284,1.4338,2916.6154,17.2435
21,600722,金牛化工,27.67,53.23,9.0656,237.3635,0.3488,445.9025,0.6554
22,002354,天神娱乐,27.55,45.92,72.9068,242.81599999999997,1.0892,528.6931,2.3715
23,002174,游族网络,27.46,32.77,60.6022,340.7192,1.2357,1039.6381,3.7707
24,300208,恒顺众昇,26.92,29.85,46.8591,277.6975,0.3622,930.2907,1.2136
25,603380,易德龙,26.81,8.66,22.4409,36.8838,,425.7257,
26,603885,吉祥航空,26.77,15.52,30.0163,972.2284,1.7116,6262.7546,11.0259
27,600338,西藏珠峰,26.76,16.69,30.706,225.149,0.3447,1348.39,2.0648
28,300498,温氏股份,25.69,14.26,18.5083,4788.2764,1.501,33554.9931,10.5188
29,300017,网宿科技,25.46,27.74,44.1335,558.0792,0.7923,2011.4497,2.8557
30,000966,长源电力,25.44,17.25,32.1886,777.9368,1.4038,4507.7383,8.1346
31,002504,弘高创意,25.31,7.77,18.0182,217.7499,0.5275,2802.2237,6.7894
32,600452,涪陵电力,25.13,17.85,10.6679,167.6597,1.0478,939.2686,5.8704
33,300496,中科创达,25.06,24.89,53.5842,101.2305,1.3497,406.6023,5.4213
34,000048,*ST康达,24.86,9.43,33.109,168.3432,0.4308,1784.8881,4.5676
35,002143,印纪传媒,24.33,27.39,45.6498,326.2979,0.2949,1191.011,1.0767
36,600647,同达创业,24.16,80.69,33.4041,65.3225,0.4694,80.9528,0.5817
37,600185,格力地产,23.94,183.52,20.2541,829.7351,1.4363,452.1015,0.7826
38,002736,国信证券,23.84,50.27,66.5698,11082.5826,1.3515,22043.0356,2.6881
39,600550,保变电气,23.77,8.71,21.8858,226.0361,0.1472,2593.9955,1.6903
40,000712,锦龙股份,23.19,4121.63,95.6822,746.1947,0.8328,18.1043,0.0202
41,000333,美的集团,23.09,9.88,26.2735,11012.1027,2.5815,111374.4157,26.1092
