,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,600901,江苏租赁,--,--,--,--,--,--
1,000637,茂化实华,204.7421,158.245,7717.418,-2465.9275,99.292,0.708
2,002399,海普瑞,190.8692,179.5783,16754.4019,-389.0929,99.2479,0.7521
3,000722,湖南发展,9.6375,9.5813,855.7132,-3827.2968,98.7163,1.2837
4,002502,骅威文化,58.3411,53.1308,4321.0851,-716.5134,98.5083,1.4917
5,000611,*ST天首,21.1204,9.3148,854.5803,1139.9815,98.323,1.677
6,300107,建新股份,25.7981,23.7895,1723.1305,-166.017,97.9741,2.0259
7,300157,恒泰艾普,54.344,54.344,4555.8899,-215.023,97.9726,2.0274
8,002320,海峡股份,35.4563,35.1014,3418.0124,-768.0897,97.9408,2.0592
9,300075,数字政通,50.4624,50.3484,4501.5814,-252.2695,97.8629,2.1371
10,002575,群兴玩具,44.9727,36.7347,2813.1816,-2124.2389,97.8279,2.1721
11,000681,视觉中国,44.5499,42.5541,3341.3712,-1388.5239,97.8159,2.1841
12,300191,潜能恒信,116.4041,116.3739,9262.0288,-554.933,97.7994,2.2006
13,002148,北纬科技,33.5711,33.5477,2742.5224,-455.5911,97.7814,2.2186
14,002393,力生制药,41.6989,39.1008,3373.9843,-736.8315,97.7617,2.2383
15,002428,云南锗业,33.2968,30.8318,2834.3277,-679.4731,97.7607,2.2393
16,002568,百润股份,36.3522,35.6457,3196.1581,-504.165,97.7437,2.2563
17,600705,中航资本,36.6992,36.2272,3470.6528,65.8788,97.4058,2.5942
18,002581,未名医药,32.5911,32.1062,2966.9779,-2797.8186,97.4045,2.5955
19,300085,银之杰,31.8109,31.5093,2653.563,-154.0871,97.2442,2.7558
20,300235,方直科技,38.0918,36.6789,3461.1987,-1132.7794,97.1858,2.8142
21,002414,高德红外,32.035,27.2961,1976.0633,-275.5433,97.1655,2.8345
22,002558,巨人网络,19.1111,18.5171,1746.5881,-1304.124,97.1515,2.8485
23,002038,双鹭药业,26.2995,24.8718,1266.745,-6971.754,97.0903,2.9097
24,600180,瑞茂通,0.445,0.445,44.4993,11887.7264,96.9701,3.0299
25,300053,欧比特,24.2274,22.1658,1411.0037,-3793.5094,96.8967,3.1033
26,002495,佳隆股份,25.404,23.7336,2021.5542,-344.4815,96.8132,3.1868
27,300074,华平股份,31.2481,29.9398,2554.2046,-219.7647,96.8005,3.1995
28,300223,北京君正,82.0083,79.2459,7510.3824,-395.6899,96.7487,3.2513
29,002528,英飞拓,29.0597,26.3448,2421.5661,14.2904,96.6964,3.3036
30,300189,神农科技,25.2843,21.4341,1847.1592,-1262.4092,96.4826,3.5174
31,300149,量子生物,25.4815,23.7719,2057.1047,-253.9621,96.4712,3.5288
32,300078,思创医惠,27.4078,26.5103,2440.27,-459.9986,96.3528,3.6472
33,000498,山东路桥,25.6567,25.6567,2565.672,-126.2512,96.1752,3.8248
34,300047,天源迪科,18.9992,18.945,1151.2447,-745.7765,96.114,3.886
35,300079,数码科技,25.7969,24.8985,2024.8324,-426.5078,96.0477,3.9523
36,002487,大金重工,23.7184,21.6333,1569.6324,-150.134,96.0454,3.9546
37,300206,理邦仪器,29.9157,28.9454,2766.0596,-283.1939,95.9923,4.0077
38,002566,益盛药业,28.8526,25.9905,1890.1412,-437.1206,95.9131,4.0869
39,300247,融捷健康,17.5161,16.191,1198.9127,-72196.6891,95.8892,4.1108
40,300204,舒泰神,35.0303,34.6632,3263.4417,-594.0056,95.8829,4.1171
41,300003,乐普医疗,18.3197,17.0209,1222.7811,-1894.517,95.8533,4.1467
42,600640,号百控股,18.5755,18.3838,1807.4111,-115.6688,95.76,4.24
43,002408,齐翔腾达,15.4228,14.5079,1097.273,-3527.0837,95.6449,4.3551
44,000008,神州高铁,13.6174,13.5322,1045.4978,166.4297,95.6295,4.3705
45,002549,凯美特气,20.8181,20.6105,1395.9496,-4936.9746,95.6121,4.3879
46,300110,华仁药业,14.1143,13.0706,668.0539,-1715.3372,95.529,4.471
47,300067,安诺其,16.9235,13.7522,995.6327,-334.0125,95.4631,4.5369
48,002621,美吉姆,20.5112,19.0382,1740.1967,-9466.0452,95.4383,4.5617
49,300102,乾照光电,26.2786,23.6674,1804.0028,-6799.218,95.3989,4.6011
50,300318,博晖创新,12.7312,11.8616,932.7745,-2708.3798,95.3458,4.6542
51,300136,信维通信,21.8103,21.4186,1815.7629,-546.8642,95.3338,4.6662
52,002550,千红制药,29.7633,26.2415,2365.1035,-708.0473,95.3015,4.6985
53,601519,大智慧,17.1732,17.1732,1614.3466,-66.6795,95.2685,4.7315
54,002279,久其软件,12.2935,12.2859,1024.3253,-773.7157,95.2571,4.7429
55,300050,世纪鼎利,22.315,21.3645,1789.9346,-261.6049,95.1443,4.8557
56,300183,东软载波,22.4016,21.8882,2092.5567,-694.1513,95.1317,4.8683
57,300179,四方达,30.6398,27.673,2422.9657,-292.579,95.1195,4.8805
