,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,300371,汇中股份,--,--,--,-27939.4296,--,--
1,300385,雪浪环境,--,--,--,1041.9892,--,--
2,300389,艾比森,--,--,--,3656.5507,--,--
3,300736,百华悦邦,--,--,--,--,--,--
4,603009,北特科技,--,--,--,379.7534,--,--
5,603168,莎普爱思,--,--,--,2263.149,--,--
6,603306,华懋科技,--,--,--,--,--,--
7,603580,艾艾精工,--,--,--,--,--,--
8,603722,阿科力,--,--,--,--,--,--
9,002727,一心堂,--,--,--,2977.2753,--,--
10,300384,三联虹普,--,--,--,-2800.1265,--,--
11,300392,腾信股份,--,--,--,10037.1036,--,--
12,300721,怡达股份,--,--,--,--,--,--
13,603111,康尼机电,--,--,--,618.154,--,--
14,002726,龙大肉食,--,--,--,5229.3457,--,--
15,300387,富邦股份,--,--,--,16973.1825,--,--
16,300391,康跃科技,--,--,--,378.9245,--,--
17,603006,联明股份,--,--,--,6349.3504,--,--
18,603100,川仪股份,--,--,--,596.2296,--,--
19,603328,依顿电子,--,--,--,1073.8328,--,--
20,002732,燕塘乳业,--,--,--,2402.6039,--,--
21,300386,飞天诚信,--,--,--,15982.4916,--,--
22,300390,天华超净,--,--,--,3866.7673,--,--
23,601579,会稽山,--,--,--,1777.5115,--,--
24,603018,中设集团,--,--,--,2790.6025,--,--
25,603099,长白山,--,--,--,1556.3033,--,--
26,603126,中材节能,--,--,--,658.4836,--,--
27,603369,今世缘,--,--,--,-9574.8645,--,--
28,603609,禾丰牧业,--,--,--,500.2224,--,--
29,002728,特一药业,--,--,--,--,--,--
30,002932,明德生物,--,--,--,--,--,--
31,000831,五矿稀土,116.9789,29.0956,2729.5838,-305.0961,99.1557,0.8443
32,300288,朗玛信息,65.6031,65.6031,4968.9443,-640.1403,98.599,1.401
33,300223,北京君正,178.6892,168.8257,15771.6138,13.9002,98.4899,1.5101
34,002399,海普瑞,91.3279,83.5045,7548.5485,-166.6206,98.4412,1.5588
35,300348,长亮科技,76.0324,75.4561,5576.6603,-170.991,98.3781,1.6219
36,002568,百润股份,41.1776,40.362,3594.0437,-248.3622,98.1138,1.8862
37,000722,湖南发展,6.4657,6.4279,536.0841,-2555.7422,98.0461,1.9539
38,300085,银之杰,39.668,38.5155,2767.9204,-0.169,97.9028,2.0972
39,002495,佳隆股份,26.5213,23.9829,1963.8194,-461.7058,97.8614,2.1386
