,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600309,万华化学,23.08,23.12,40.123000000000005,6949.9344,2.542,30054.1746,10.9926
1,603868,飞科电器,18.47,21.92,39.3515,398.1746,0.914,1815.7808,4.1684
2,600566,济川药业,18.33,22.14,84.72,842.5169999999999,1.0346,3803.7247,4.6709
3,600779,水井坊,17.31,20.01,81.138,267.4546,0.5474,1336.1812,2.735
4,000537,广宇发展,15.05,16.84,31.6967,1668.9197,0.8959999999999999,9907.8392,5.3195
5,603369,今世缘,14.76,36.28,71.9298,856.2871,0.6825,2359.8383,1.881
6,603025,大豪科技,14.54,37.91,50.6064,246.8731,0.3882,651.0697,1.024
7,002507,涪陵榨菜,14.43,28.7,55.035,305.2461,0.3867,1063.5202,1.3473
8,000848,承德露露,14.35,21.44,52.3793,252.9635,0.2585,1179.6169,1.2054
9,002415,海康威视,13.81,19.86,44.4988,4147.3955,0.4494,20875.7582,2.2623
10,300136,信维通信,13.66,23.94,37.7735,437.1366,0.4447,1825.7157,1.8576
11,300146,汤臣倍健,13.14,32.47,69.1956,704.6071,0.4796,2169.6667,1.4769
12,600663,陆家嘴,12.74,27.81,49.2642,1838.6512,0.5469,6610.9463,1.9664
13,002677,浙江美大,12.62,25.92,51.2007,145.7953,0.2256,562.3961,0.8704
14,300497,富祥股份,12.53,21.22,39.6887,132.003,1.1753,621.8624,5.537000000000001
15,000688,建新矿业,11.09,37.26,58.4838,256.1529,0.2252,687.4167,0.6044
16,300401,花园生物,10.88,47.73,64.9894,153.1439,0.3195,320.8062,0.6693
17,603501,韦尔股份,10.78,8.21,28.1334,155.7872,0.3417,1895.4283,4.1583
18,603305,旭升股份,10.66,26.96,39.6532,132.7758,0.3314,492.4787,1.2293
19,603587,地素时尚,10.32,34.56,75.4739,335.564,0.8368,970.8383,2.421
20,603707,健友股份,10.25,26.72,47.8707,227.1164,0.4111,849.8203,1.5383
21,300685,艾德生物,9.94,34.35,91.9499,69.5756,0.4831,202.4927,1.4061
22,300572,安车检测,9.91,25.29,49.5384,59.8654,0.4945,236.6607,1.9549
23,603929,亚翔集成,9.84,7.29,10.5898,102.3242,0.4795,1402.9689,6.5755
24,300463,迈克生物,9.21,18.59,52.0138,231.7239,0.4152,1246.4352,2.2337
25,600829,人民同泰,9.21,3.88,12.674000000000001,134.2148,0.2314,3457.2922,5.9619
26,600577,精达股份,9.18,4.52,9.4558,286.2593,0.1463,6321.5166,3.2329
27,000818,航锦科技,9.15,13.18,26.5825,241.0884,0.3484,1828.6215,2.6431
28,600885,宏发股份,8.96,10.94,38.1985,367.3178,0.4932,3355.2756,4.5051
29,002182,云海金属,8.84,5.95,13.9811,145.3657,0.2248,2441.9837,3.7776
30,000065,北方国际,8.7,8.35,18.7653,342.1843,0.4446,4097.5342,5.3248
31,603713,密尔克卫,8.38,8.86,21.5805,66.9612,0.5855,755.5264,6.6069
32,300547,川环科技,8.37,17.98,35.3379,59.3084,0.4802,329.7657,2.6704
33,002360,同德化工,8.08,19.15,43.027,86.2139,0.2202,450.0612,1.1495
34,002462,嘉事堂,7.87,2.17,9.9327,185.4025,0.74,8519.9908,34.0083
35,300584,海辰药业,7.55,11.92,86.0031,40.7092,0.3392,341.4232,2.8451
36,603903,中持股份,7.55,10.82,22.5801,58.1145,0.5623,537.0435,5.197
37,603826,坤彩科技,7.39,31.04,45.2422,89.2413,0.1906,287.4849,0.6142
38,000989,九芝堂,7.27,18.14,66.1966,326.7605,0.3758,1800.6608,2.0712
