,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600877,ST嘉陵,3050.19,51.31,5.3974,301.5512,0.4387,587.6242,0.8549
1,600423,*ST柳化,159.31,3.36,5.4217,61.5515,0.1541,1830.0737,4.5826
2,000953,ST河化,126.44,13.33,-1.9392,29.4624,0.1001,220.8816,0.7511
3,600608,ST沪科,105.97,13.25,0.3205,62.3212,0.1895,470.0863,1.4294
4,600678,四川金顶,103.05,15.64,27.1372,28.9408,0.0829,184.9645,0.5299
5,000717,韶钢松山,84.65,9.66,13.2641,2516.5474,1.0401,26038.2683,10.7617
6,600319,亚星化学,81.58,1.36,11.2734,26.6146,0.0843,1949.7807,6.1781
7,600338,西藏珠峰,65.35,45.15,72.5532,1113.6447,1.7054,2466.5269,3.7771
8,600793,宜宾纸业,63.46,7.98,8.9831,92.4647,0.8781,1157.9648,10.9968
9,000016,深康佳A,63.25,16.19,11.0119,5057.0252,2.1001,31227.7632,12.9686
10,002925,盈趣科技,58.97,30.11,48.9369,983.8625,2.588,3267.1957,8.5942
11,002027,分众传媒,57.89,49.98,72.7247,6004.7068,0.4909,12013.5532,0.9821
12,601138,工业富联,56.34,4.47,10.1431,15867.607,0.8951,354543.851,20.0016
13,600306,商业城,55.18,8.93,17.1657,82.4033,0.4625,922.2737,5.1772
14,300747,锐科激光,53.88,29.12,46.5967,277.1756,2.8872,951.8272,9.9148
15,600768,宁波富邦,52.32,8.78,2.3099,70.6541,0.5282,804.6708,6.0163
16,600507,方大特钢,52.13,18.21,32.0344,2539.5266,1.915,13944.7496,10.5156
17,600228,ST昌九,49.83,4.72,9.1173,26.1307,0.1082,553.2305,2.2925
18,603709,中源家居,48.21,10.53,28.3019,82.6817,1.3780000000000001,784.5126,13.0752
19,600230,沧州大化,46.76,29.04,55.6943,1283.0424,4.3612,4417.1951,15.0148
20,603666,亿嘉和,44.85,37.17,67.2173,138.9932,2.6408,373.8802,7.1037
21,300176,鸿特科技,44.35,16.72,58.7061,491.1552,4.5782,2936.8894,27.3759
22,000513,丽珠集团,41.11,51.91,63.8601,4428.6846,8.0051,8530.9686,15.4202
23,600309,万华化学,40.81,20.96,39.7,11134.7903,4.0726,53123.1733,19.4304
24,300618,寒锐钴业,40.34,30.67,48.8973,449.4048,3.745,1464.8966,12.2074
25,000932,华菱钢铁,39.82,5.38,13.8155,4120.9195,1.3665,76511.4136,25.3714
26,000918,嘉凯城,39.29,157.91,16.0802,1987.7496,1.1017,1258.734,0.6976
27,600161,天坛生物,38.81,66.84,55.9267,1179.9427,1.7608,1765.1697,2.6341
28,603165,荣晟环保,37.65,19.59,23.3117,398.6823,3.1471,2034.4144,16.0594
29,600516,方大炭素,37.31,43.35,76.586,3620.4186,2.0239,8350.4761,4.6682
30,002016,世荣兆业,36.88,29.4,56.9654,912.9816,1.1283,3105.2481,3.8379
31,002366,台海核电,36.77,41.05,67.9312,1013.9797,1.1694,2469.8083,2.8484
32,601003,柳钢股份,36.75,6.36,8.9669,2646.1763,1.0325,41557.1691,16.2155
33,600609,金杯汽车,36.72,1.74,14.4017,100.713,0.0921,5770.545999999999,5.2811
34,002460,赣锋锂业,36.38,33.51,40.471,1469.0781,1.9804,4383.4461,5.9094
35,002110,三钢闽光,36.23,17.76,26.0955,3989.7253,2.9045,22460.5348,16.3514
36,603587,地素时尚,36.05,24.67,74.8425,480.0637,1.4119,1945.9084,5.7232
37,603871,嘉友国际,35.94,6.35,9.429,206.2206,3.437,3244.2493,54.0708
38,000055,方大集团,35.33,38.82,32.205,1144.4044,0.9668,2947.4708,2.4901
39,000672,上峰水泥,35.28,17.25,34.6881,791.7741,0.9731,4587.5339,5.6384
40,600581,八一钢铁,34.96,6.97,14.0532,1167.9596,1.5238,16756.8536,21.8629
41,603868,飞科电器,34.65,21.67,39.3241,835.3476,1.9176,3853.4289,8.8462
42,000526,紫光学大,34.53,0.86,28.8304,24.3809,0.2534,2811.5923,29.228
43,000651,格力电器,34.15,15.1,32.8577,22401.5762,3.7238,148286.45,24.6497
44,600618,氯碱化工,34.01,13.73,16.0365,992.6033,0.8583,7226.7461,6.2493
45,002517,恺英网络,33.37,51.37,70.6997,1610.2174,1.122,3134.0191,2.1839
46,300454,深信服,32.95,23.19,75.4955,573.5193,1.5931,2472.4745,6.8679
47,600444,国机通用,32.79,27.33,20.2664,167.2599,1.1423,611.83,4.1785
48,002928,华夏航空,32.53,10.85,21.5305,374.2307,1.0395,3448.447,9.579
49,000885,同力水泥,32.3,12.77,40.6802,602.8508,1.2144,4720.4123,9.5096
50,000820,神雾节能,32.22,26.43,47.5977,348.0885,0.5462,1316.7882,2.0663
51,300136,信维通信,32.21,25.88,36.4284,889.0461,0.9045,3434.7678,3.4947
52,000785,武汉中商,31.57,8.94,21.0596,357.5353,1.4231,3996.6257,15.9087
53,603156,养元饮品,31.48,29.84,47.8525,2309.8787,4.6664,7740.584,15.6375
54,603776,永安行,31.47,48.97,28.432,516.4490000000001,5.3796,1054.5314,10.9847
55,603799,华友钴业,31.46,19.63,34.3915,1895.513,3.1982,9653.2227,16.2875
56,603516,淳中科技,31.17,36.32,73.5372,90.9278,1.296,250.3269,3.5679
57,002415,海康威视,30.99,22.45,43.9994,9410.8551,1.0197,41905.4766,4.5406
58,000921,海信科龙,30.99,5.96,19.4632,1997.5301,1.4658,33487.5904,24.5739
59,002323,*ST百特,30.88,19.17,38.1008,264.0927,0.3541,1377.2566,1.8468
60,002120,韵达股份,30.49,15.91,28.9805,1589.3196,1.3056,9985.5739,8.2033
61,000036,华联控股,30.47,33.81,68.2246,1343.1251,1.1766,3971.7470000000003,3.4794
62,603288,海天味业,30.04,24.21,45.6901,3531.4369,1.3073,14584.3109,5.3991
63,603486,科沃斯,29.91,8.25,36.5847,375.6629,1.0435,4551.0256,12.6417
64,600545,卓郎智能,29.82,7.55,26.6742,658.327,0.3473,8713.412,4.5971
65,600398,海澜之家,29.78,18.29,38.954,3328.8742,0.7409,18200.0914,4.0509
66,002597,金禾实业,29.64,22.81,33.7946,1022.2685,1.8117,4479.8764,7.9397
67,600519,贵州茅台,29.61,46.51,89.7962,27079.3603,21.5566,58217.8613,46.3445
68,000895,双汇发展,29.54,8.56,18.9112,4319.2999,1.3090000000000002,50447.335999999996,15.2891
