,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000587,金洲慈航,1025.93,,,397.1244,2.1383,0.0,0.0
1,600057,厦门象屿,60.63,,,0.3435,0.0007,0.0,0.0
2,600083,博信股份,50.13,,,12.9286,0.0562,0.0,0.0
3,600876,洛阳玻璃,37.86,28.86,10.7193,70.4278,0.1408,243.9527,0.4878
4,000011,深物业A,24.54,29.12,72.6908,284.6052,0.4775,977.2578,1.6397
5,600636,三爱富,22.01,17.4,38.3976,221.9813,0.6392,1275.2084,3.6725
6,600809,山西汾酒,21.76,27.02,75.7327,506.0847,1.1689,1872.3962,4.3249
7,600784,鲁银投资,21.7,7.44,14.9988,146.1892,0.5887,1962.3428,7.9028
8,000939,*ST凯迪,21.51,69.99,26.5093,520.6331,0.883,743.8229,1.2616
9,002601,龙蟒佰利,19.4,18.83,33.0283,96.1059,1.3729,510.3567,7.2908
10,002585,双星新材,19.39,25.53,33.2948,148.5507,0.9522,581.7124,3.7289
11,600031,三一重工,19.03,19.03,37.4821,2663.0693,0.526,13988.3633,2.7631
12,002006,精功科技,18.76,18.7,32.4639,92.6866,0.6436,495.5078,3.4410000000000003
13,600503,华丽家族,17.83,27625.66,33.0163,347.1993,0.6583,1.2568,0.0023
14,600111,北方稀土,16.65,22.86,50.0212,483.86300000000006,0.5993,2116.0113,2.6209
15,000921,海信科龙,16.4,2.29,14.8784,106.3316,0.0785,4630.502,3.4197
16,600505,西昌电力,15.72,74.6,26.7264,108.1376,0.2966,144.9471,0.3975
17,600160,巨化股份,15.31,19.48,32.9602,415.5405,0.5218,2132.3316,2.678
18,000417,合肥百货,15.08,8.41,17.3207,225.3851,0.4698,2678.6916,5.5838
19,002304,洋河股份,14.47,32.23,59.0455,1171.5353,2.6034,3633.8007,8.0751
20,600252,中恒集团,14.32,72.67,70.90899999999999,215.8442,0.3954,297.0051,0.544
21,000568,泸州老窖,13.9,43.26,70.2075,896.0758,0.6426,2071.1122,1.4854
22,000596,古井贡酒,13.73,17.75,74.4785,167.1581,0.7113,941.4283,4.006
23,600838,上海九百,13.7,250.08,42.5504,93.8616,0.2341,37.5317,0.0936
24,002034,旺能环境,13.58,20.87,14.2735,65.49600000000001,0.8073,313.7905,3.8682
25,002113,天润数娱,13.57,3.19,14.2923,1.2187,0.0102,38.198,0.3226
26,300498,温氏股份,13.36,16.33,21.2881,1036.1759,0.3792,6344.6873,2.3219
27,000995,*ST皇台,13.26,107.07,42.4484,26.1956,0.1476,24.4644,0.1378
28,600152,维科技术,13.2,7.72,34.4477,132.7755,0.4523,1719.5125,5.8587
