,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,300660,江苏雷利,2154.57,15.46,28.9757,125.0298,1.6492,808.4016,10.6635
1,600129,太极集团,58.85,24.81,29.1879,964.4298,2.2591,3886.6227,9.1044
2,000408,藏格控股,48.56,718569.61,100.0,71.857,0.2848,0.01,0.0
3,603444,吉比特,40.1,50.96,95.7438,293.1212,5.4921,575.1569999999999,10.7766
4,000150,宜华健康,36.03,176.78,38.0715,933.6378,2.0849,528.1176,1.1793
5,002027,分众传媒,35.1,38.58,69.5113,1901.1715,0.2176,4926.9424,0.5639
6,002841,视源股份,33.87,9.56,20.3671,324.0301,0.8926,3388.3691,9.3343
7,300628,亿联网络,33.33,43.01,62.4715,186.0721,,432.6237,
8,002072,凯瑞德,31.27,695.99,-3.1557,37.0859,0.2107,5.3285,0.0302
9,600338,西藏珠峰,31.21,40.63,63.5566,263.6152,0.4036,648.7756,0.9935
10,603579,荣泰健康,27.1,16.97,37.4089,100.4457,1.9132,591.5811,11.2682
11,300590,移为通信,26.59,33.02,60.6146,38.7507,0.6458,117.3266,1.9554
12,603661,恒林股份,26.39,16.25,31.4702,127.8347,,786.6701,
13,300613,富瀚微,26.0,37.06,57.4966,54.8934,,148.1048,
14,300498,温氏股份,25.94,25.48,31.5414,7226.6104,1.6611,28359.4518,6.5189
15,603258,电魂网络,25.42,57.4,94.5387,141.968,0.7887,247.3155,1.3739
16,300695,兆丰股份,24.57,38.86,53.7133,86.8973,,223.6017,
17,002517,恺英网络,24.08,19.0,60.0172,245.2146,0.3623,1289.9344,1.9059
18,300737,科顺股份,23.93,25.93,53.8927,180.6747,0.9069,696.7496,3.4976
19,603059,倍加洁,23.73,17.42,29.4684,50.242,,288.3877,
20,603156,养元饮品,23.54,32.26,51.5422,1300.4043,,4030.6174,
21,603277,银都股份,23.52,22.08,46.1561,123.0912,0.3676,557.405,1.6648
22,603816,顾家家居,23.37,13.52,42.0834,272.0597,0.8244,2011.9477,6.0968
23,002714,牧原股份,23.34,46.94,51.3697,1072.4289,2.0748,2284.3046,4.4194
24,002458,益生股份,22.93,33.81,43.8191,269.9624,0.8065,798.4049,2.3853
25,600052,浙江广厦,22.77,117.36,26.686999999999998,488.9101,0.5608,416.5713,0.4778
26,002852,道道全,22.1,10.76,19.7398,129.1167,,1199.4022,
27,603160,汇顶科技,22.09,25.1,47.2299,304.0564,0.7601,1210.8982,3.0272
28,600100,同方股份,21.74,46.51,16.1654,4956.8833,1.6724,10655.4885,3.595
29,600647,同达创业,21.72,256.96,21.5562,75.3773,0.5417,29.3339,0.2108
30,603516,淳中科技,21.19,38.22,58.9456,42.8568,1.2216,112.1252,3.1962
31,002932,明德生物,20.86,45.42,86.7137,30.423000000000002,0.6092,66.9686,1.341
32,600398,海澜之家,20.66,20.23,40.8201,1772.8388,0.3945,8762.5147,1.9503
33,603203,快克股份,20.3,34.41,58.1694,44.4904,0.6447,129.2714,1.8734
34,300561,汇金科技,20.26,45.37,75.1737,52.5982,1.2523,115.9313,2.7602
35,603908,牧高笛,20.01,13.76,33.7241,36.6197,,265.9737,
36,600816,安信信托,19.65,67.76,83.2709,1392.8904,0.7869,2055.3639,1.1612
37,002466,天齐锂业,19.56,43.78,72.3779,746.7999,0.7516,1705.5948,1.7166
38,603871,嘉友国际,19.39,19.84,30.6327,71.3944,,359.7439,
39,300558,贝达药业,19.24,40.95,97.0177,212.3673,0.5899,518.5759,1.4404
40,300253,卫宁健康,19.19,116.51,56.6078,423.4527,0.5205,363.4193,0.4467
41,600826,兰生股份,18.93,62.22,6.2869,706.1765,1.6788,1134.8082,2.6977
42,600074,*ST保千,18.34,23.77,45.5912,336.2447,0.1458,1414.1225,0.6132
43,002833,弘亚数控,18.26,26.97,39.7471,63.8713,0.6387,236.7407,2.3674
44,300571,平治信息,18.02,15.69,30.2178,24.9612,0.8320000000000001,159.0166,5.3005
45,000036,华联控股,17.56,435.47,48.726000000000006,432.1198,0.3788,99.2285,0.087
46,600340,华夏幸福,17.55,22.47,50.3174,3956.5587,1.3389,17604.8354,5.9577
47,600213,亚星客车,17.48,1.45,11.8681,14.2192,0.0646,979.2484,4.4511
48,300033,同花顺,17.38,57.03,88.3321,363.9436,0.6769,638.0876,1.1869
49,600550,保变电气,17.29,3.4,20.1195,63.6824,0.0414,1871.329,1.2194
50,603288,海天味业,17.2,24.08,44.0843,1485.9256,0.5489999999999999,6168.7753,2.2794
51,300615,欣天科技,17.17,26.9,49.0597,31.5454,0.5257,117.2556,1.9542
52,000333,美的集团,17.16,12.25,29.2253,9496.493,1.4780000000000002,77522.287,12.0658
53,603658,安图生物,17.05,34.06,71.8968,147.7425,0.3908,433.7361,1.1474
54,603239,浙江仙通,16.98,22.3,45.303000000000004,56.9995,0.8421,255.5844,3.7763
55,002366,台海核电,16.95,50.08,73.5867,283.1278,0.653,565.2462,1.3038
56,000856,冀东装备,16.87,10.76,7.3459,54.5724,0.2404,507.0131,2.2335
57,300612,宣亚国际,16.68,11.6,43.9753,26.118000000000002,0.4836,225.1061,4.1686
58,603639,海利尔,16.58,16.33,36.4355,105.3435,1.1704,644.8363,7.1648
59,300568,星源材质,16.48,36.65,62.2941,92.9997,1.0333,253.7478,2.8194
60,002124,天邦股份,16.43,18.82,33.8968,203.3004,0.3193,1079.8386,1.696
61,002157,正邦科技,16.26,7.01,16.2364,609.6957,0.9079,8694.2725,12.9477
62,603228,景旺电子,16.15,16.32,31.0367,244.5362,0.6792,1497.886,4.1607
63,600996,贵广网络,15.97,26.97,47.4668,307.9807,0.3699,1141.8461,1.3714
64,300698,万马科技,15.9,12.61,44.2625,27.7566,0.2761,219.981,2.1888
65,002847,盐津铺子,15.83,14.24,50.128,46.8481,0.5037,328.7823,3.5352
66,300533,冰川网络,15.79,46.35,92.2989,88.7208,1.1829,191.3969,2.5519
67,600887,伊利股份,15.74,10.73,38.9562,3211.4891,0.5295,29925.531000000003,4.9342
68,002815,崇达技术,15.72,17.68,37.7859,183.4939,0.5097,1037.3189,2.8814
69,603165,荣晟环保,15.69,12.15,20.3499,51.9044,0.5463,426.85900000000004,4.4932
70,002074,国轩高科,15.56,22.23,47.683,533.5751,0.6088,2399.383,2.7379
71,600366,宁波韵升,15.55,98.56,25.011,742.2125,1.3313,752.9949,1.3506
72,603080,新疆火炬,15.54,46.12,47.1809,60.3838,0.5696,130.9211,1.2351
73,300577,开润股份,15.32,10.09,27.1483,34.1316,0.6826,338.1808,6.7636
74,002867,周大生,15.26,15.84,35.5053,213.4776,,1347.2511,
75,603685,晨丰科技,15.19,17.18,31.8812,44.4676,,258.7792,
76,000848,承德露露,15.17,18.66,45.9107,272.9584,0.2789,1462.3047,1.4943
