,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,601228,广州港,--,--,--,554.303,--,--
1,300288,朗玛信息,86.6996,86.6996,6946.1122,-803.5066,98.8966,1.1034
2,300067,安诺其,57.2778,44.4941,3170.2279,-339.2683,98.603,1.397
3,300107,建新股份,29.7044,23.4846,1673.0343,-180.8352,98.4651,1.5349
4,000722,湖南发展,12.8486,12.7852,773.5413,-5511.7611,98.3582,1.6418
5,002568,百润股份,39.1841,38.4377,3446.0122,-570.7703,97.9631,2.0369
6,300085,银之杰,35.4546,34.5447,2801.7243,-97.4742,97.6144,2.3856
7,300053,欧比特,34.4953,29.9888,1936.8233,-431.3713,97.5757,2.4243
8,002558,巨人网络,13.4083,12.6884,835.0752,-927.3469,97.5266,2.4734
9,300223,北京君正,78.4957,74.6949,7044.9374,-77.4806,97.4992,2.5008
10,002399,海普瑞,45.1808,41.9803,3842.0777,-205.3655,97.4027,2.5973
11,002414,高德红外,30.0411,23.688,1394.6141,-98.8784,97.2598,2.7402
12,300191,潜能恒信,49.4399,49.438,3853.7296,-336.4327,97.0486,2.9514
13,002495,佳隆股份,21.7387,19.5123,1673.123,-225.8592,97.0215,2.9785
14,002550,千红制药,34.377,31.4381,2373.0359,-299.8248,96.9625,3.0375
15,300333,兆日科技,32.0721,30.5595,2997.5594,-811.8291,96.9536,3.0464
16,300163,先锋新材,21.3333,14.492,690.8563,-1159.4389,96.9458,3.0542
17,002148,北纬科技,19.2405,19.2179,1475.5228,-1478.0147,96.8599,3.1401
18,002540,亚太科技,24.2261,21.7924,1311.0272,-401.8984,96.7836,3.2164
19,300294,博雅生物,28.7424,24.5971,2416.1302,-671.3122,96.681,3.319
20,002622,融钰集团,27.5103,24.2787,2142.6242,-143.8636,96.6778,3.3222
21,002581,未名医药,25.0803,24.0629,2143.88,-586.1822,96.6236,3.3764
22,002320,海峡股份,18.172,17.947,1717.5363,-397.741,96.5309,3.4691
23,300315,掌趣科技,25.1136,25.1136,2304.6382,-542.3139,96.5128,3.4872
