,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000034,神州数码,1202.74,167.3,18.5837,479.3197,1.3389,286.4912,0.8003
1,600699,均胜电子,289.59,109.99,-7.9266,135.3803,0.7289,123.0788,0.6626
2,600057,厦门象屿,135.41,4940.88,41.4922,114.5457,0.2664,2.3183,0.0053
3,600515,海航基础,127.44,29.28,31.0359,94.9804,0.3213,324.3071,1.0972
4,000921,海信科龙,119.16,3.26,17.5007,468.7653,0.3461,14378.0572,10.6185
5,600728,佳都科技,110.5,103.47,24.826,301.2007,0.9273,291.0941,0.8962
6,000403,ST生化,89.24,6.77,52.1132,29.6248,0.1399,437.2201,2.0654
7,600609,金杯汽车,83.41,5.24,11.3227,174.5234,0.1597,3327.0512,3.0448
8,000716,黑芝麻,47.14,57.88,38.2383,153.6918,0.8621,265.4955,1.4893
9,002577,雷柏科技,43.82,17.37,32.5152,83.8482,,482.5998,
10,600891,秋林集团,43.78,86.27,37.7958,157.5517,0.6468,182.6185,0.7497
11,600031,三一重工,43.43,17.15,37.3663,4444.8457,1.8437,25903.9633,10.7454
12,300146,汤臣倍健,40.45,29.01,64.6637,72.7135,1.7735,250.645,6.1132
13,002493,荣盛石化,39.41,9.2,15.8704,988.9273,1.9778,10742.6493,21.4852
14,600876,洛阳玻璃,38.46,2.56,18.9201,20.0522,0.0401,782.1843,1.5643
15,300237,美晨生态,37.97,15.49,34.6431,64.4296,,415.7468,
16,300144,宋城演艺,37.34,41.98,78.048,143.5621,1.1393,341.9311,2.7137
17,300142,沃森生物,36.87,45.64,91.1894,102.0605,1.3608,223.6181,2.9815
18,300171,东富龙,36.45,29.15,47.5418,107.0135,1.7835,367.0997,6.1183
19,300159,新研股份,36.37,20.23,36.5371,45.5341,1.4978,224.9979,7.4012
20,600323,瀚蓝环境,34.77,124.24,41.81100000000001,515.8412,1.9029,415.1746,1.5316
21,300225,金力泰,34.39,17.36,33.6816,66.6045,1.3319999999999999,383.6438,7.6728
22,300134,大富科技,34.06,30.69,44.6947,162.5586,1.3546,529.6714,4.4139
23,600115,东方航空,33.58,9.19,20.9507,5099.067,0.4521,55465.96400000001,4.9187
24,600970,中材国际,33.44,5.98,13.5837,943.9513,1.2432,15765.7273,20.7653
25,600029,南方航空,33.02,8.84,21.2999,5117.0,0.6393,57836.0,7.2262
26,002581,未名医药,32.78,29.86,48.742,52.2369,0.6433,174.9358,2.1543
27,300165,天瑞仪器,32.66,33.37,74.4102,70.8731,1.2769,212.3798,3.8266
28,000568,泸州老窖,32.52,41.98,69.9419,1580.5718,1.1336,3764.9326,2.7003
29,300162,雷曼股份,32.31,21.51,38.5497,30.9203,0.6159,143.705,2.8626
30,002128,露天煤业,32.04,24.33,39.6793,1069.5156,0.8061,4394.8683,3.3126
31,600081,东风科技,31.89,10.04,20.2133,168.7854,0.5382,1681.0128,5.361000000000001
32,300133,华策影视,31.87,35.02,58.9521,84.9049,2.0043,242.4254,5.7229
33,002532,新界泵业,31.85,11.72,22.1631,49.227,0.8204,419.7052,6.995
34,300136,信维通信,30.99,35.51,59.495,36.5543,0.731,102.9282,2.0585
35,002550,千红制药,30.74,12.06,24.3598,108.0679,0.9005,895.5805,7.4631
36,601111,中国国航,29.73,16.67,25.4222,9860.799,0.8048,59134.049000000006,4.8267
37,002542,中化岩土,29.62,20.66,35.5131,32.5955,0.6519,157.7548,3.155
38,600375,华菱星马,29.52,7.08,12.8001,230.3883,1.2288,3252.7125,17.3495
39,000338,潍柴动力,29.35,10.23,23.6602,4800.9368,5.7631,46915.3658,56.3178
40,002503,搜于特,29.13,14.63,34.8092,64.712,1.0785,442.1958,7.3699
41,300220,金运激光,29.07,21.97,47.8097,19.1663,,87.2242,
42,300154,瑞凌股份,28.97,14.51,28.7521,66.7387,0.7968,459.6944,5.4888
43,300187,永清环保,28.7,15.23,27.5778,32.4556,0.648,212.99900000000002,4.2531
44,600712,南宁百货,28.19,7.44,16.6637,95.2447,0.5486,1278.5474,7.3646
45,000792,盐湖股份,27.45,25.78,60.5961,1040.3999,1.3554,4034.1646,5.2558
46,600809,山西汾酒,27.26,22.44,76.589,536.972,1.2403,2392.6061,5.5266
47,600805,悦达投资,27.24,36.7,29.6339,552.9051,1.0136,1506.4676,2.7619
48,002497,雅化集团,27.2,23.01,50.2825,124.0313,1.0335,538.9556,4.4912
49,000869,张裕A,27.03,24.96,71.6075,891.4017,1.6905,3570.6121,6.7717
50,600238,*ST椰岛,27.0,19.87,17.2531,197.7387,0.6617,994.9967,3.3299
51,600111,北方稀土,26.69,16.47,44.6183,604.8461,0.7491,3670.3777,4.5462
52,002202,金风科技,26.43,14.06,24.5023,1531.9411,0.6839,10892.5508,4.8627
53,603009,北特科技,26.4,14.76,31.7403,30.0032,,203.2045,
54,300141,和顺电气,26.38,22.99,38.3972,25.5686,0.6205,111.2103,2.6992
55,002514,宝馨科技,26.31,18.86,35.1502,37.3783,0.7329,198.1151,3.8846
56,000049,德赛电池,26.31,4.9,17.7639,40.9585,0.2993,835.8237,6.1085
57,300204,舒泰神,26.27,44.24,88.5055,38.1045,0.762,86.1249,1.7224
58,300156,神雾环保,26.23,32.85,47.0762,75.8797,1.2615,230.9272,3.8391
59,600547,山东黄金,25.87,3.84,8.8603,933.3166,0.6558,24278.1105,17.0603
60,002543,万和电气,25.85,8.37,27.6692,137.0416,0.9136,1635.5739,10.9038
61,300166,东方国信,25.81,31.04,56.2478,22.2855,0.7349,71.7791,2.367
62,002537,海联金汇,25.65,4.09,8.394,65.7655,0.8768,1607.7668,21.4368
63,002005,德豪润达,25.55,11.61,22.8751,223.8929,0.6927,1926.8659,5.9618
64,600816,安信信托,25.45,803.74,26.6693,79.7394,0.1755,9.921,0.0218
65,600066,宇通客车,25.43,5.97,17.1653,545.9649,1.0501,9132.4866,17.5661
66,002545,东方铁塔,25.28,11.71,24.5284,141.645,1.0895,1209.4805,9.3036
67,002663,普邦股份,25.25,7.2,16.7722,37.1039,1.8551,514.9721,25.7486
68,002541,鸿路钢构,24.98,5.65,12.6725,91.2551,0.9125,1614.1345,16.1413
69,300155,安居宝,24.95,24.31,50.0195,40.115,0.7428,165.0009,3.0555
70,601012,隆基股份,24.92,21.74,29.3563,245.9921,1.168,1131.1165,5.3709
71,000893,*ST东凌,24.79,2.48,4.6466,97.9183,0.441,3943.8118,17.7649
72,000550,江铃汽车,24.73,12.48,25.8726,1452.9959,1.6832,11641.7629,13.4865
73,600216,浙江医药,24.71,24.36,40.6034,867.5219999999999,1.9275,3561.255,7.9128
74,000887,中鼎股份,24.59,13.04,30.4137,245.1923,0.5761,1880.1573,4.4181
75,002304,洋河股份,24.56,27.64,55.2365,1535.6763,3.4126,5554.3002,12.3428
76,600660,福耀玻璃,24.56,21.7,40.2124,1319.4611,0.6587,6079.4728,3.0352
77,000528,柳工,24.43,10.72,22.5837,1260.6499,1.9389,11751.4776,18.0747
78,000895,双汇发展,24.42,2.84,8.9945,754.3835,1.2448,26522.8028,43.7673
79,002536,西泵股份,24.28,9.57,26.5796,70.2595,0.9758,733.9294,10.1934
80,300345,红宇新材,24.15,22.3,38.5003,35.7411,,160.2333,
81,000651,格力电器,24.14,6.56,20.1298,2890.0761,1.0256,44003.9268,15.6159
82,600348,阳泉煤业,23.91,9.46,20.9718,2029.0777,0.8436,21441.014,8.9151
83,300240,飞力达,23.82,6.35,30.9784,49.2753,0.6159,775.1896,9.6898
84,600519,贵州茅台,23.82,44.75,91.195,4174.174,4.4227,9327.5778,9.883
85,002521,齐峰新材,23.74,12.1,23.142,119.25299999999999,1.0816,984.9129,8.9334
86,000333,美的集团,23.47,2.97,17.0821,2419.1445,2.4191,81224.0427,81.22399999999999
87,600812,华北制药,23.4,3.53,18.4792,232.7478,0.2262,6591.3687,6.4082
88,002007,华兰生物,23.37,49.33,77.002,474.9291,0.8242,962.72,1.6707
89,300145,中金环境,23.33,10.44,30.7915,45.5756,0.7595,436.4187,7.2736
90,000933,神火股份,22.99,7.35,17.4988,994.0697,0.9467,13519.7371,12.8759
