,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000030,富奥股份,395008.74,1336875.17,100.0,1457.2742,5.0526,0.109,0.0003
1,000587,金洲慈航,1034.06,,,396.7875,2.1365,0.0,0.0
2,600057,厦门象屿,72.92,,,0.6005,0.0013,0.0,0.0
3,600111,北方稀土,47.73,33.05,71.2636,1976.6973,1.6322,5979.1267,4.9372
4,600083,博信股份,47.37,,,11.5748,0.0503,0.0,0.0
5,000411,英特集团,43.97,4.27,5.3387,172.2857,0.8304,4033.8899,19.4451
6,002648,卫星石化,41.37,22.33,32.4933,353.3449,2.3556,1581.8519,10.5456
7,600876,洛阳玻璃,38.85,14.2,9.8126,73.4163,0.1468,516.7767,1.0335
8,600636,三爱富,38.71,18.37,38.3657,496.6137,1.4302,2702.6698,7.7835
9,300307,慈星股份,38.26,26.3,45.5758,512.2189,,1947.0057,
10,002651,利君股份,37.23,38.57,53.406000000000006,295.4393,0.8206,765.9472,2.1276
11,002601,龙蟒佰利,37.01,21.91,36.7053,234.5889,3.3512,1070.2696,15.2895
12,600160,巨化股份,35.57,28.69,46.8527,1284.4933,1.6132,4477.1174,5.6229
13,600031,三一重工,35.02,19.56,38.1264,5939.2908,0.7821,30363.2516,3.9984
14,000921,海信科龙,34.64,2.66,16.9946,285.8387,0.21100000000000002,10734.9087,7.9279
15,600259,广晟有色,31.06,12.08,29.0201,134.2665,0.5383,1110.7009,4.4534
16,601100,恒立液压,29.93,31.44,43.9011,204.262,0.6484,649.6519999999999,2.0623
17,601908,京运通,29.74,34.1,50.2661,348.35900000000004,0.9418,1021.3049,2.7611
18,002675,东诚药业,29.63,14.17,21.6114,74.241,,523.7303,
19,600503,华丽家族,29.02,4926.8,30.9998,559.4376,0.7858,11.355,0.0159
20,300498,温氏股份,29.0,19.22,24.1235,2636.2889,0.8390000000000001,13713.7895,4.3644
21,300298,三诺生物,28.99,38.2,68.0942,37.306,,97.6574,
22,600693,东百集团,28.85,26.11,20.9493,286.6998,0.8353,1097.8692,3.1987
23,600809,山西汾酒,27.8,22.75,75.6847,658.6252,1.5213,2894.8188,6.6866
24,300257,开山股份,27.49,13.57,24.3602,150.1107,1.4029,1105.8448,10.3349
25,002612,朗姿股份,26.13,22.26,58.7237,96.1961,0.6413,432.1229,2.8808
26,002610,爱康科技,26.01,21.75,16.8876,151.8275,1.0121,697.7602,4.6517
27,300267,尔康制药,25.61,19.4,38.975,60.3723,0.4374,311.0439,2.2539
