,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600057,厦门象屿,13533.44,,,30.1808,0.0702,0.0,0.0
1,000034,神州数码,754.1,123.86,17.6529,498.1422,1.3915,402.1628,1.1234
2,600515,海航基础,140.22,15.44,27.5238,72.5768,0.2455,469.8998,1.5898
3,600217,中再资环,116.65,35.69,22.0871,302.4158,0.4576,847.1494,1.2819999999999998
4,002651,利君股份,115.75,39.8,53.744,576.5496,1.6015,1448.2931,4.023
5,000921,海信科龙,108.13,3.3,16.3569,585.2777,0.4322,17690.3236,13.0647
6,000719,中原传媒,100.0,,,0.3773,0.0029,0.0,0.0
7,600705,中航资本,99.83,,,883.0179,3.2187,0.0,0.0
8,600609,金杯汽车,89.01,6.01,12.6848,281.3076,0.2574,4674.8938,4.2784
9,600728,佳都科技,84.0,45.06,22.6229,242.5353,0.7467,538.1639,1.6569
10,603806,福斯特,75.27,32.39,44.8352,551.6826,,1703.0248,
11,603156,养元饮品,73.75,15.3,30.7063,164.919,,1077.4618,
12,600793,宜宾纸业,69.81,1.35,8.1259,10.2705,0.0975,757.4667,7.1934
13,002623,亚玛顿,69.63,36.65,56.1914,218.1838,1.8181,595.1725,4.9597
14,601515,东风股份,69.03,37.42,50.7602,507.9206,1.0158,1357.0718,2.7141
15,600885,宏发股份,67.94,0.83,13.3042,4.2923,0.0279,516.3480000000001,3.3584
16,002653,海思科,67.48,52.57,65.6633,305.753,0.8493,581.5851,1.6155
17,300307,慈星股份,67.09,24.23,39.8591,552.446,1.6248,2279.7011,6.705
18,000818,航锦科技,62.54,64.27,-4.971,1159.9751,3.4116,1804.8333,5.3083
19,002585,双星新材,61.92,26.29,36.7593,382.3764,2.4511,1454.0675,9.3209
20,300316,晶盛机电,60.25,33.35,55.3952,126.6727,1.2667,379.8262,3.7982
21,300298,三诺生物,60.05,34.23,64.0588,54.8588,0.8311,160.2313,2.4277
22,601558,ST锐电,59.53,14.05,20.6289,2855.6862,3.1729,20324.8663,22.5831
23,300389,艾比森,57.8,17.85,38.7173,47.2395,0.7479,264.5578,4.1886
24,300346,南大光电,56.22,47.59,75.15,56.12,1.4885,117.9195,3.1278
25,000979,中弘股份,55.34,25.15,57.722,920.9782,1.6379,3661.3917,6.5117
26,300183,东软载波,55.29,44.59,63.3908,103.6215,1.3816,232.3822,3.0984
27,000716,黑芝麻,55.1,38.41,39.0593,161.9885,0.9087,421.7023,2.3656
28,002718,友邦吊顶,52.6,27.91,52.5903,55.8773,1.2417,200.1879,4.4486
29,600876,洛阳玻璃,52.6,5.2,19.7661,60.7878,0.1215,1168.4817,2.3368
30,300257,开山股份,51.38,12.52,23.3518,203.5756,1.9025,1625.8432,15.1947
31,300305,裕兴股份,50.7,28.99,32.7329,103.1862,1.7197,355.8581,5.9309
32,002577,雷柏科技,50.59,16.95,32.3368,110.0952,1.1468,649.4272,6.7648
