,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,603587,地素时尚,--,--,--,-6054.8506,--,--
1,002575,群兴玩具,68.7353,68.7353,2335.9107,2188.3557,98.8701,1.1299
2,002625,光启技术,63.3917,63.1215,5959.7042,-73.34100000000001,98.3746,1.6254
3,000416,民生控股,49.9387,49.9387,2894.6378,12733.2696,98.2171,1.7829
4,300333,兆日科技,34.2565,31.2182,2003.2047,-329.00300000000004,98.1607,1.8393
5,600633,浙数文化,14.889,14.8608,661.5779,-10057.4454,97.4362,2.5638
6,300235,方直科技,32.2416,31.5109,2722.1231,312.0934,97.4113,2.5887
7,300149,量子生物,23.6944,22.6634,1991.8897,-4686.2055,96.9331,3.0669
8,300656,民德电子,31.3663,29.4668,1968.8974,29983.885,96.6968,3.3032
9,300613,富瀚微,43.6333,40.6663,3291.8516,2184.746,96.6832,3.3168
10,603696,安记食品,19.7973,18.0487,996.3215,-870.5599,96.6021,3.3979
11,002038,双鹭药业,25.5312,23.5759,1526.6311,-2368.9754,96.4382,3.5618
12,603336,宏辉果蔬,25.5049,19.1892,480.8672,1272.2098,96.2067,3.7933
13,300223,北京君正,30.8709,26.8867,323.2895,-2400.0207,96.1386,3.8614
14,000831,五矿稀土,20.5215,11.7271,438.3321,-1691.1978,96.1042,3.8958
15,000503,国新健康,17.6518,17.6488,1275.6931,-3477.0794,96.0757,3.9243
16,300081,恒信东方,16.5323,15.6762,1376.8049,-2736.6845,96.0627,3.9373
17,300042,朗科科技,18.3607,16.754,708.9408,-848.2033,95.8457,4.1543
18,002581,未名医药,18.1527,17.3817,978.1721,-2645.2837,95.8216,4.1784
19,002348,高乐股份,11.3941,9.6448,455.4093,2197.9878,95.7964,4.2036
20,300485,赛升药业,16.9671,15.96,153.8735,-20095.292,95.6965,4.3035
21,600868,梅雁吉祥,2.1678,2.1639,112.8182,5971.1055,95.6539,4.3461
22,300377,赢时胜,12.7397,12.7154,681.9857,-405.4592,95.6095,4.3905
23,600527,江南高纤,16.4771,10.5859,747.4882,11367.1303,95.5454,4.4546
24,300494,盛天网络,19.9704,19.957,1500.9927,-1019.7752,95.516,4.484
25,603615,茶花股份,15.9213,13.547,921.3751,-2447.5456,95.3299,4.6701
26,603189,网达软件,24.1502,23.3442,1871.9692,-168.4874,95.32,4.68
27,300357,我武生物,18.9008,18.2639,480.259,-4860.9102,95.2412,4.7588
28,300561,汇金科技,24.5545,22.3435,378.8516,-13614.3768,95.1796,4.8204
29,000813,德展健康,19.0328,17.9734,1074.6472,-18700.4647,95.0795,4.9205
30,002820,桂发祥,5.3476,4.6666,346.0592,-66225.6479,94.9412,5.0588
31,300099,精准信息,9.5686,8.4487,369.1372,-209.4472,94.9308,5.0692
32,300346,南大光电,31.6632,28.9002,311.8381,5893.7917,94.9226,5.0774
33,300628,亿联网络,18.8278,17.8086,330.9479,4193.3007,94.921,5.079
34,600212,江泉实业,7.5961,7.4798,91.6516,-1837854.7632,94.6781,5.3219
35,603508,思维列控,15.7282,14.2862,357.8954,-1827.1227,94.6551,5.3449
36,300305,裕兴股份,18.5627,17.7421,876.8981,-413.1773,94.6154,5.3846
37,000096,广聚能源,12.7009,12.4913,1067.0551,-643.8256,94.5405,5.4595
38,000971,高升控股,4.6889,4.6889,205.8167,-13058.4503,94.4222,5.5778
39,300371,汇中股份,12.512,10.0159,509.5781,-985.4624,94.2867,5.7133
40,002932,明德生物,11.9268,10.8894,541.045,-12644.9506,94.1556,5.8444
41,002007,华兰生物,11.7603,7.653,187.849,-6551.3124,94.1251,5.8749
42,603688,石英股份,11.6779,9.6617,312.7695,6698.9642,93.9755,6.0245
43,603819,神力股份,14.7276,11.5076,216.454,-1264.9121,93.9622,6.0378
44,300127,银河磁体,14.5237,12.8905,450.7502,3289.7622,93.9216,6.0784
45,300379,东方通,7.9946,7.5801,457.2911,-322.7247,93.9023,6.0977
46,300508,维宏股份,16.1888,14.7284,47.0496,-21908.7748,93.8439,6.1561
47,603040,新坐标,12.4938,11.3438,279.1062,-10273.8009,93.7403,6.2597
48,000623,吉林敖东,3.8017,3.2338,124.1447,-33703.306000000004,93.5372,6.4628
49,300191,潜能恒信,10.3365,10.3365,759.6005,892.9908,93.458,6.542
50,002502,骅威文化,13.2391,11.0994,768.9154,-3891.9375,93.3875,6.6125
51,300076,GQY视讯,11.7248,10.7741,721.0004,425.0292,93.3852,6.6148
52,300642,透景生命,19.3998,17.6261,1482.6797,-3868.5708,93.3409,6.6591
53,002495,佳隆股份,6.1866,5.3872,493.9636,-1451.7968,93.2463,6.7537
54,002843,泰嘉股份,10.3113,9.1563,107.4127,-7395.8784,93.2341,6.7659
55,000670,盈方微,7.2951,6.0789,86.6966,221.5134,93.2327,6.7673
56,300525,博思软件,9.6893,9.3669,686.068,-293.1236,93.1944,6.8056
57,600506,香梨股份,14.077,13.3071,578.2905,324.7874,93.1606,6.8394
58,600883,博闻科技,16.4431,16.2182,772.4178,-3029.0889,93.1183,6.8817
59,000722,湖南发展,12.5881,11.749,784.2764,3525.9731,93.1068,6.8932
60,002320,海峡股份,7.1481,7.0699,678.4386,-3782.1035,92.9513,7.0487
61,603058,永吉股份,9.5031,8.7682,374.2775,-3072.8751,92.9173,7.0827
62,600381,青海春天,41.1779,32.2037,1403.5952,-2611.4409,92.848,7.152
63,300406,九强生物,11.0403,9.9565,552.4149,-2425.9511,92.806,7.194
64,000996,中国中期,12.5256,11.1702,1033.4258,-4372.3065,92.8031,7.1969
65,300609,汇纳科技,14.5462,13.8199,594.5734,-950.8307,92.7923,7.2077
66,603238,诺邦股份,8.8494,7.7381,211.4221,-5806.8308,92.7881,7.2119
67,300148,天舟文化,5.1065,5.0102,407.6017,-2144.5572,92.7827,7.2173
68,603330,上海天洋,8.4192,6.6656,170.9682,680.5108,92.7805,7.2195
69,300595,欧普康视,12.6281,12.1957,188.3261,-11769.4242,92.7747,7.2253
70,300590,移为通信,14.1361,12.7783,580.9442,3864.5159,92.7475,7.2525
71,603398,邦宝益智,9.3646,8.1404,271.3808,-2995.8612,92.7183,7.2817
72,002141,贤丰控股,9.0728,7.8205,113.3632,622.163,92.7122,7.2878
73,300535,达威股份,10.4554,8.9344,473.2012,5638.2148,92.6533,7.3467
74,002802,洪汇新材,12.8072,12.3435,182.7724,7352.8288,92.64,7.36
75,603826,坤彩科技,9.107999999999999,6.3624,88.1991,1576.2339,92.6391,7.3609
76,603580,艾艾精工,14.9776,12.5187,1057.5423,-4741.7706,92.6089,7.3911
77,002868,绿康生化,11.1515,10.4472,141.278,3193.9479,92.60700000000001,7.393
78,300653,正海生物,19.3672,19.0614,1240.7573,-1477.1378,92.5989,7.4011
79,002224,三力士,8.6402,7.0998,567.4043,10116.4182,92.5623,7.4377
80,300534,陇神戎发,5.8381,5.309,114.7856,-1644.9977,92.5501,7.4499
81,300443,金雷风电,8.8812,7.485,304.3786,1448.9581,92.5389,7.4611
82,300623,捷捷微电,10.8414,10.1199,601.679,-11351.6654,92.4817,7.5183
83,600847,万里股份,7.084,4.8114,42.5704,-713.5362,92.4813,7.5187
84,603896,寿仙谷,7.9162,5.7893,107.6941,2219.4074,92.464,7.5360000000000005
85,002759,天际股份,2.4835,2.04,63.5173,6666.3166,92.3459,7.6541
86,300314,戴维医疗,7.9102,6.6115,157.9638,-5212.3874,92.3299,7.6701
87,300077,国民技术,9.3072,8.594,128.6997,-1029.8154,92.274,7.726
88,300175,朗源股份,7.497000000000001,3.1066,105.1004,2185.4974,92.2677,7.7323
89,300394,天孚通信,10.6416,9.5748,649.7714,45801.0762,92.2535,7.7465
