,code,name,currentratio,quickratio,cashratio,icratio,sheqratio,adratio
0,002348,高乐股份,35.9909,32.745,2214.7446,-201.8268,98.0313,1.9687
1,002621,三垒股份,37.028,33.8134,1387.6045,-247.7866,97.6543,2.3457
2,000711,京蓝科技,35.0203,34.8784,1143.0924,87.8816,97.1805,2.8195
3,000831,五矿稀土,31.2912,13.550999999999998,703.6809,11322.6254,96.9194,3.0806
4,002515,金字火腿,17.1958,10.1205,142.9481,-227.4666,96.8873,3.1127
5,300485,赛升药业,27.2638,26.2582,1644.8834,-4896.8476,96.8122,3.1878
6,300223,北京君正,48.3785,45.5767,233.1248,-204.7056,96.7299,3.2701
7,002007,华兰生物,19.3277,14.9669,264.9551,-1359.3722,96.5906,3.4094
8,002038,双鹭药业,23.2806,22.1124,1323.9257,-3374.7054,96.0548,3.9452
9,300399,京天利,21.6432,21.3096,715.4285,-652.6378,96.0218,3.9782
10,600527,江南高纤,18.0875,12.2943,884.3372,361.8638,95.9165,4.0835
11,300149,量子生物,15.3639,14.5212,165.7127,-3214.2626,95.7415,4.2585
12,300394,天孚通信,18.1407,16.9779,472.7216,-3375.9029,95.7193,4.2807
13,600751,海航科技,23.0006,22.9927,1642.475,-206.6132,95.6474,4.3526
14,603696,安记食品,16.3435,14.6953,1241.5362,-1792.5087,95.6445,4.3555
15,300042,朗科科技,16.5557,15.982999999999999,1380.5274,-68.5544,95.6221,4.3779
16,000567,海德股份,21.0517,18.6619,1098.1635,-87.7376,95.3652,4.6348
17,300333,兆日科技,14.8627,13.942,1364.3897,-392.1038,95.3537,4.6463
18,300357,我武生物,19.6632,19.2915,1103.6197,-2566.1152,95.3271,4.6729
19,600193,*ST创兴,3.7275,3.7275,343.2845,-3536.3778,95.2229,4.7771
20,300305,裕兴股份,23.3669,22.2907,1141.8841,-277.0959,95.1401,4.8599
21,300076,GQY视讯,17.1505,16.0532,1135.3898,64.375,95.0907,4.9093
22,603099,长白山,11.4065,11.2147,1065.7813,-1311.1543,94.9712,5.0288
23,300107,建新股份,10.2993,8.7973,201.6233,-366.7661,94.9111,5.0889
24,603688,石英股份,14.7663,12.2757,248.4966,-1291.0831,94.8303,5.1697
25,300046,台基股份,16.1452,14.6621,1066.1725,-74.5556,94.7876,5.2124
